nombre,codigo_sku,codigo_barras,categoria,sucursal,stock_sucursal,stock_minimo,unidad_medida,factor_to_base,precio_menudeo,precio_medio_mayoreo,precio_mayoreo,activo
1800 MILENIO 700ml,PRO-579663,7501035013476,COLECCION,VINOS - Principal,1,1,Botella,1.0000,3000.00,2880.00,2760.00,true
7 Leguas BLANCO 1L,PRO-271873,7501151010014,Tequila,VINOS - Principal,71,10,Botella,1.0000,800.00,768.00,736.00,true
7 Leguas Blanco 700ml,PRO-145125,7501151070018,Tequila,VINOS - Principal,35,10,Botella,1.0000,675.00,648.00,621.00,true
absolut mandrin 750ml,PRO-969288,7312040050758,Vodka,VINOS - Principal,9,6,Botella,1.0000,218.75,210.00,201.25,true
Absolut raspeberry 750ml,PRO-865556,7312040350063,Vodka,VINOS - Principal,12,6,Botella,1.0000,218.75,210.00,201.25,true
absolut VODKA 750ml,PRO-050110,7312040017010,Vodka,VINOS - Principal,12,6,Botella,1.0000,218.75,210.00,201.25,true
Amper 473 ml,PRO-470533,7506192507349,null,VINOS - Principal,200,12,Pieza,1.0000,18.95,18.19,17.43,true
arizona KIWI FRESA 570ml,PRO-190567,613008772901,Jugos,VINOS - Principal,71,10,Pieza,1.0000,21.08,20.24,19.40,true
arizona MANGO 570ml,PRO-092601,613008772963,Jugos,VINOS - Principal,57,10,Pieza,1.0000,21.08,20.24,19.40,true
arizona PONCHE DE FRUTAS 570ml,PRO-281964,613008772871,Jugos,VINOS - Principal,16,10,Pieza,1.0000,21.08,20.24,19.40,true
arizona SANDIA 570ml,PRO-404429,613008772840,Jugos,VINOS - Principal,72,10,Pieza,1.0000,21.08,20.24,19.40,true
bacardi CARTA BLANCA 980ML,PRO-840764,7501008660201,Ron,VINOS - Principal,24,10,Botella,1.0000,225.00,216.00,207.00,true
BACARDI RASPBERRY 700ml,PRO-074502,7610113028421,Ron,VINOS - Principal,24,10,Botella,1.0000,193.75,186.00,1787.25,true
baileys 700ml,PRO-441791,5011013100156,licor,VINOS - Principal,24,10,Botella,1.0000,393.75,378.00,362.25,true
Black Label 750ml,PRO-555898,5000267024004,Whisky,VINOS - Principal,11,6,Botella,1.0000,562.50,540.00,517.40,true
black y white 700ml,PRO-203949,50196135,Whisky,VINOS - Principal,12,6,Botella,1.0000,212.50,204.00,195.50,true
blue label 750ml,PRO-713257,5000267114279,COLECCION,VINOS - Principal,1,1,Botella,1.0000,4312.50,4140.00,3967.50,true
Boing brik de Fresa 500 ml,PRO-270673,75003166,null,VINOS - Principal,48,48,Pieza,1.0000,17.34,16.64,15.95,true
Boing Brik Guayaba 500 ml,PRO-427350,7501039401149,null,VINOS - Principal,48,48,Pieza,1.0000,17.34,16.64,15.95,true
boing GUAYABA 354ml,PRO-221711,7501039400081,Jugos,VINOS - Principal,48,10,Pieza,1.0000,18.12,17.40,16.68,true
boing MANGO 354ml,PRO-374254,7501039400067,Jugos,VINOS - Principal,48,10,Pieza,1.0000,18.12,17.40,16.68,true
bombay sapphire,PRO-111688,5010677714006,licor,VINOS - Principal,12,6,Botella,1.0000,425.00,408.00,391.00,true
Bong brik de Mango 500 ml,PRO-330321,7501039401132,null,VINOS - Principal,48,48,Pieza,1.0000,17.44,16.74,16.04,true
Boost 235 ml,PRO-401892,7501013100730,null,VINOS - Principal,120,120,Pieza,1.0000,21.88,21.00,20.13,true
buchanans 12 YEARS 750,PRO-814448,50196388,Whisky,VINOS - Principal,24,10,Botella,1.0000,600.00,576.00,552.00,true
buchanans 18 YEARS 750ml,PRO-932749,5000196001695,Whisky,VINOS - Principal,12,6,Botella,1.0000,1237.50,1188.00,1138.50,true
buchanans MASTER 750ml,PRO-590956,5000196003774,Whisky,VINOS - Principal,12,6,Botella,1.0000,806.25,774.00,741.75,true
buchanans PINEAPPLE 750ml,PRO-067804,5000196007246,Whisky,VINOS - Principal,24,10,Botella,1.0000,775.00,744.00,713.00,true
buchanans RED SEAL 750 ml,PRO-068621,5000196003248,Whisky,VINOS - Principal,1,1,Botella,1.0000,4312.50,4140.00,3967.50,true
BuzzBallz Chili Mango 200ml,PRO-939043,857674007855,Premezcladas,VINOS - Principal,456,10,Pieza,1.0000,73.75,70.80,67.85,true
BuzzBallZ Forbidden Apple 200ml,PRO-096521,857641002234,Jugos,VINOS - Principal,144,10,Pieza,1.0000,73.75,70.80,67.85,true
BuzzBallz Strawberry Rita 200 ml,PRO-384529,857641002609,Jugos,VINOS - Principal,360,360,Pieza,1.0000,73.75,70.80,67.85,true
Captain Morgan 700ml,PRO-370866,5000281055374,Ron,VINOS - Principal,22,10,Botella,1.0000,187.50,180.00,172.00,true
caribe DURAZNO 300ml,PRO-759286,7501032485016,Premezcladas,VINOS - Principal,60,10,Pieza,1.0000,24.80,23.81,22.82,true
caribe FRESA 300ml,PRO-597747,7501032485047,Premezcladas,VINOS - Principal,60,10,Pieza,1.0000,24.80,23.81,22.82,true
caribe MANDARINA 300ml,PRO-949677,7501032485078,Premezcladas,VINOS - Principal,60,10,Pieza,1.0000,24.80,23.81,22.82,true
caribe MANGO PINA 300ml,PRO-210083,7501032485030,Premezcladas,VINOS - Principal,60,10,Pieza,1.0000,24.80,23.81,22.82,true
caribe MANZANA KIWI 300ml,PRO-809280,7501032485054,Premezcladas,VINOS - Principal,60,10,Pieza,1.0000,24.80,23.81,22.82,true
caribe TINTO 300ml,PRO-553078,7501032485023,Premezcladas,VINOS - Principal,60,10,Pieza,1.0000,24.80,23.81,22.82,true
centenario AÑEJO 695ml,PRO-169160,7501048810406,Tequila,VINOS - Principal,24,10,Botella,1.0000,634.97,609.57,584.17,true
centenario PLATA 950,PRO-790135,7501048810116,Tequila,VINOS - Principal,24,10,Botella,1.0000,353.75,339.60,325.45,true
Centinela Clasico blanco 1L,PRO-735924,749787100069,Tequila,VINOS - Principal,24,12,Botella,1.0000,300.00,288.00,276.00,true
centinela ETERNO CRISTALINO 750ml,PRO-701831,749787093057,Tequila,VINOS - Principal,24,10,Botella,1.0000,743.75,714.00,684.25,true
clamato ORIGINAL 1.89ml,PRO-501563,014800515343,Jugos,VINOS - Principal,40,10,Pieza,1.0000,69.38,68.24,65.40,true
clamato ORIGINAL 2.54l,PRO-622406,014800001655,Jugos,VINOS - Principal,40,0,Pieza,1.0000,94.21,90.44,86.68,true
clamato ORIGINAL 296ml,PRO-311695,014800515312,Jugos,VINOS - Principal,120,10,Pieza,1.0000,20.62,19.80,18.98,true
clamato ORIGINAL 473ml,PRO-073553,014800515329,Jugos,VINOS - Principal,60,10,Pieza,1.0000,29.78,28.50,27.31,true
clamato ORIGINAL 945ml,PRO-191933,014800515336,Jugos,VINOS - Principal,48,10,Pieza,1.0000,49.27,47.29,45.32,true
clase azul PLATA,PRO-532676,850014275105,COLECCION,VINOS - Principal,1,1,Botella,1.0000,2487.50,2388.00,2288.50,true
clase azul REPOSADO 750ml,PRO-654446,850014275099,COLECCION,VINOS - Principal,1,1,Botella,1.0000,3375.00,3240.00,3105.00,true
clase azul ULTRA 750 ml,PRO-178832,081240049905,COLECCION,VINOS - Principal,1,1,Botella,1.0000,40.00,38400.00,36800.00,true
Cognac Hennessy V.S.O.P 700ml,PRO-415158,3245999484319,null,VINOS - Principal,12,12,Botella,1.0000,1118.75,1074.00,1029.00,true
Cognac Martell VSOP 700 ml,PRO-613712,080432112823,null,VINOS - Principal,12,24,Botella,1.0000,931.25,894.00,856.00,true
Concha y toro CABERNET SUAVIGNON 750ml,PRO-750980,7804320637006,Vino,VINOS - Principal,6,3,Botella,1.0000,135.00,129.60,124.20,true
Concha y toro Carmenere 750ml,PRO-620661,7804320116921,Vino,VINOS - Principal,6,3,Botella,1.0000,135.00,129.60,124.20,true
Concha y toro MALBEC 750ml,PRO-505160,7798039590496,Vino,VINOS - Principal,6,3,Botella,1.0000,135.00,129.60,124.20,true
Concha y toro MERLOT 750ml,PRO-616119,7804320148397,Vino,VINOS - Principal,6,3,Botella,1.0000,135.00,129.60,124.20,true
Corona Extra Ambarmedia 355ml,PRO-837194,7501064101465,Cerveza,VINOS - Principal,0,24,Pieza,1.0000,12.95,0.00,0.00,true
Corona Extra Familiar 940ml,PRO-901187,7501064113024,Cerveza,VINOS - Principal,0,24,Pieza,1.0000,33.16,0.00,0.00,true
Corona Extra Mega 1.2L,PRO-124648,7501064101205,Cerveza,VINOS - Principal,0,24,Pieza,1.0000,38.91,0.00,0.00,true
Corona Light bote 355ml,PRO-632163,7501064107153,Cerveza,VINOS - Principal,0,24,Pieza,1.0000,14.83,0.00,0.00,true
Coronita Extra 210ml,PRO-478125,7501064103100,Cerveza,VINOS - Principal,0,24,Pieza,1.0000,9.40,0.00,0.00,true
