legacy_id,sale_legacy_id,customer_legacy_id,folio,sale_reference,issue_date,due_date,credit_days_applied,total,paid_amount,balance,notes
credit-note:1,sale:1,2,MIG-JM-CRED-1,MIG-JM-VENTA-1,2025-07-08,2025-07-23,15,230,230,0,Venta origen: 1 | Usuario origen: ALONDRA2025 | Credito abonado origen: 230 | Status origen: 0
credit-note:2,sale:2,3,MIG-JM-CRED-2,MIG-JM-VENTA-2,2025-07-11,2025-08-10,30,132,132,0,Venta origen: 2 | Usuario origen: ALEXA2025 | Credito abonado origen: 132 | Status origen: 1
credit-note:3,sale:3,3,MIG-JM-CRED-3,MIG-JM-VENTA-3,2025-07-11,2025-08-10,30,165,165,0,Venta origen: 3 | Usuario origen: ALEXA2025 | Credito abonado origen: 165 | Status origen: 1
credit-note:4,sale:4,3,MIG-JM-CRED-4,MIG-JM-VENTA-4,2025-07-11,2025-07-26,15,2162,2162,0,Venta origen: 4 | Usuario origen: ALEXA2025 | Credito abonado origen: 2162 | Status origen: 1
credit-note:5,sale:5,2,MIG-JM-CRED-5,MIG-JM-VENTA-5,2025-07-14,2025-07-29,15,145,145,0,Venta origen: 5 | Usuario origen: ALEXA2025 | Credito abonado origen: 145 | Status origen: 0
credit-note:6,sale:6,4,MIG-JM-CRED-6,MIG-JM-VENTA-6,2025-07-17,2025-08-01,15,2300,2300,0,Venta origen: 6 | Usuario origen: ALONDRA2025 | Credito abonado origen: 2300 | Status origen: 0
credit-note:7,sale:7,5,MIG-JM-CRED-7,MIG-JM-VENTA-7,2025-07-18,2025-08-02,15,45960,45960,0,Venta origen: 7 | Usuario origen: JUANDEJESUS | Credito abonado origen: 45960 | Status origen: 1
credit-note:8,sale:8,5,MIG-JM-CRED-8,MIG-JM-VENTA-8,2025-07-21,2025-08-05,15,2450,2450,0,Venta origen: 8 | Usuario origen: ALEXA2025 | Credito abonado origen: 2450 | Status origen: 1
credit-note:9,sale:9,2,MIG-JM-CRED-9,MIG-JM-VENTA-9,2025-07-23,2025-08-07,15,103,103,0,Venta origen: 9 | Usuario origen: ALEXA2025 | Credito abonado origen: 103 | Status origen: 1
credit-note:10,sale:10,6,MIG-JM-CRED-10,MIG-JM-VENTA-10,2025-07-24,2025-08-08,15,4300,4300,0,Venta origen: 10 | Usuario origen: ALONDRA2025 | Credito abonado origen: 4300 | Status origen: 1
credit-note:11,sale:11,7,MIG-JM-CRED-11,MIG-JM-VENTA-11,2025-07-24,2025-08-23,30,1390,1390,0,Venta origen: 11 | Usuario origen: ALEXA2025 | Credito abonado origen: 1390 | Status origen: 1
credit-note:12,sale:12,2,MIG-JM-CRED-12,MIG-JM-VENTA-12,2025-07-24,2025-08-08,15,45,45,0,Venta origen: 12 | Usuario origen: ALEXA2025 | Credito abonado origen: 45 | Status origen: 1
credit-note:13,sale:13,3,MIG-JM-CRED-13,MIG-JM-VENTA-13,2025-07-25,2025-08-09,15,125,125,0,Venta origen: 13 | Usuario origen: ALONDRA2025 | Credito abonado origen: 125 | Status origen: 1
credit-note:14,sale:14,8,MIG-JM-CRED-14,MIG-JM-VENTA-14,2025-07-25,2025-08-09,15,8100,8100,0,Venta origen: 14 | Usuario origen: ALONDRA2025 | Credito abonado origen: 8100 | Status origen: 1
credit-note:15,sale:15,8,MIG-JM-CRED-15,MIG-JM-VENTA-15,2025-07-28,2025-08-12,15,16000,16000,0,Venta origen: 15 | Usuario origen: ALEXA2025 | Credito abonado origen: 16000 | Status origen: 1
credit-note:16,sale:16,2,MIG-JM-CRED-16,MIG-JM-VENTA-16,2025-07-28,2025-08-12,15,7,7,0,Venta origen: 16 | Usuario origen: ALEXA2025 | Credito abonado origen: 7 | Status origen: 1
credit-note:17,sale:17,9,MIG-JM-CRED-17,MIG-JM-VENTA-17,2025-07-30,2025-08-14,15,356,356,0,Venta origen: 17 | Usuario origen: ALONDRA2025 | Credito abonado origen: 356 | Status origen: 1
credit-note:18,sale:18,3,MIG-JM-CRED-18,MIG-JM-VENTA-18,2025-07-30,2025-08-14,15,256,256,0,Venta origen: 18 | Usuario origen: ALEXA2025 | Credito abonado origen: 256 | Status origen: 1
credit-note:19,sale:19,2,MIG-JM-CRED-19,MIG-JM-VENTA-19,2025-07-30,2025-08-14,15,15,15,0,Venta origen: 19 | Usuario origen: ALONDRA2025 | Credito abonado origen: 15 | Status origen: 1
credit-note:20,sale:20,3,MIG-JM-CRED-20,MIG-JM-VENTA-20,2025-07-30,2025-08-14,15,104,104,0,Venta origen: 20 | Usuario origen: ALEXA2025 | Credito abonado origen: 104 | Status origen: 1
credit-note:21,sale:21,3,MIG-JM-CRED-21,MIG-JM-VENTA-21,2025-07-30,2025-08-14,15,2000,2000,0,Venta origen: 21 | Usuario origen: ALONDRA2025 | Credito abonado origen: 2000 | Status origen: 1
credit-note:22,sale:22,8,MIG-JM-CRED-22,MIG-JM-VENTA-22,2025-07-30,2025-08-14,15,13800,13800,0,Venta origen: 22 | Usuario origen: ALEXA2025 | Credito abonado origen: 13800 | Status origen: 1
