legacy_id,transaction_legacy_id,product_legacy_id,product_uom_legacy_id,qty,factor_used,qty_base,unit_price,line_total,barcode_scanned
purchase-item:1,purchase:1,284,presentation:287,41,1,41,25,1025,
purchase-item:2,purchase:2,234,presentation:233,3,1,3,33,99,
purchase-item:3,purchase:2,241,presentation:241,1,1,1,33,33,
purchase-item:4,purchase:2,247,presentation:248,1,1,1,33,33,
purchase-item:5,purchase:3,5,presentation:3,13,40,520,3800,49400,
purchase-item:6,purchase:3,7,presentation:7,13,40,520,3150,40950,
purchase-item:7,purchase:4,284,presentation:287,41,1,41,25,1025,
purchase-item:8,purchase:5,287,presentation:290,94,1,94,23,2162,
purchase-item:9,purchase:6,287,presentation:290,500,1,500,18,9000,
purchase-item:10,purchase:7,540,presentation:545,4,1,4,721.14,2884.56,
purchase-item:11,purchase:7,541,presentation:546,5,1,5,189.09,945.44,
purchase-item:12,purchase:7,542,presentation:547,5,1,5,148,739.99,
purchase-item:13,purchase:7,543,presentation:548,5,1,5,183.36,916.8,
purchase-item:14,purchase:7,544,presentation:549,5,1,5,269.6,1348,
purchase-item:15,purchase:7,545,presentation:550,5,1,5,308.77,1543.85,
purchase-item:16,purchase:8,546,presentation:552,100,1,100,0.42,41.6,
purchase-item:17,purchase:8,547,presentation:553,20,1,20,25.12,502.4,
purchase-item:18,purchase:8,548,presentation:554,2,1,2,234,468,
purchase-item:19,purchase:8,549,presentation:556,4,1,4,96,384,
purchase-item:20,purchase:8,550,presentation:561,4,1,4,108,432,
purchase-item:21,purchase:8,551,presentation:563,4,1,4,59.34,237.36,
purchase-item:22,purchase:8,553,presentation:564,4,1,4,45.54,182.16,
purchase-item:23,purchase:8,554,presentation:565,2,1,2,69,138,
purchase-item:24,purchase:8,555,presentation:566,2,1,2,75.9,151.8,
purchase-item:25,purchase:8,557,presentation:569,11,1,11,31.25,343.75,
purchase-item:26,purchase:8,556,presentation:570,6,1,6,59.44,356.64,
purchase-item:27,purchase:9,516,presentation:523,1200,1,1200,3.3,3963.74,
purchase-item:28,purchase:10,514,presentation:521,100,1,100,14.1,1410.32,
purchase-item:29,purchase:11,515,presentation:522,200,1,200,5.79,1158.56,
purchase-item:30,purchase:12,527,presentation:532,100,1,100,4.72,472.13,
purchase-item:31,purchase:13,352,presentation:361,100,1,100,32.37,3237.08,
purchase-item:32,purchase:14,368,presentation:376,100,1,100,25.47,2547.01,
purchase-item:33,purchase:15,287,presentation:290,1000,1,1000,19,19000,
purchase-item:34,purchase:16,633,presentation:638,30,1,30,168.83,5065,
purchase-item:35,purchase:17,683,presentation:687,100,1,100,145.5,14549.73,
purchase-item:36,purchase:18,697,presentation:700,50,1,50,119.94,5997.2,
purchase-item:37,purchase:19,696,presentation:701,1,1,1,612.87,612.87,
purchase-item:38,purchase:20,698,presentation:703,4,1,4,3400,13600,
purchase-item:39,purchase:20,699,presentation:705,4,40,160,4300,17200,
purchase-item:40,purchase:21,700,presentation:708,3,1,3,2501.2,7503.61,
purchase-item:41,purchase:21,300,presentation:307,7,1,7,142.12,994.86,
purchase-item:42,purchase:21,310,presentation:317,13,1,13,324.92,4224,
purchase-item:43,purchase:21,334,presentation:340,3,1,3,170.66,511.97,
purchase-item:44,purchase:21,319,presentation:326,29,1,29,131,3798.9,
purchase-item:45,purchase:22,730,presentation:737,29,100,2900,1676.83,48627.98,
purchase-item:46,purchase:23,733,presentation:740,200,1,200,468.45,93689.58,
purchase-item:47,purchase:24,745,presentation:751,3,1,3,452.67,1358,
purchase-item:48,purchase:25,747,presentation:757,18,1,18,1741.13,31340.36,
purchase-item:49,purchase:26,771,presentation:801,9,1,9,2422.1,21798.92,
purchase-item:50,purchase:27,783,presentation:821,15,1,15,1033.48,15502.25,
purchase-item:51,purchase:28,797,presentation:836,2,1,2,483.87,967.74,
purchase-item:52,purchase:29,5,presentation:3,5.5,40,220,4218,23199,
purchase-item:53,purchase:30,800,presentation:839,1,1,1,1975.79,1975.79,
purchase-item:54,purchase:30,801,presentation:840,1,1,1,1828.53,1828.53,
purchase-item:55,purchase:30,799,presentation:838,1,1,1,2914.84,2914.84,
purchase-item:56,purchase:31,5,presentation:4,480,1,480,105.45,50616,
purchase-item:57,purchase:32,802,presentation:841,5,1,5,47.71,238.55,
purchase-item:58,purchase:32,803,presentation:842,5,1,5,55.13,275.67,
purchase-item:59,purchase:32,804,presentation:843,5,1,5,2.22,11.08,
purchase-item:60,purchase:32,110,presentation:109,2,1,2,199,398,
purchase-item:61,purchase:32,176,presentation:175,2,1,2,125,250,
purchase-item:62,purchase:33,806,presentation:846,10,1,10,11.38,113.8,
purchase-item:63,purchase:33,807,presentation:847,10,1,10,20.65,206.48,
purchase-item:64,purchase:33,808,presentation:848,10,1,10,25.28,252.76,
purchase-item:65,purchase:33,809,presentation:849,10,1,10,35.15,351.48,
purchase-item:66,purchase:33,810,presentation:850,5,1,5,53.06,265.29,
purchase-item:67,purchase:33,811,presentation:851,5,1,5,117.94,589.69,
purchase-item:68,purchase:33,813,presentation:852,5,1,5,164.55,822.73,
purchase-item:69,purchase:33,815,presentation:854,10,1,10,37.9,378.97,
purchase-item:70,purchase:33,817,presentation:856,10,1,10,33.71,337.1,
purchase-item:71,purchase:33,818,presentation:857,10,1,10,17.37,173.65,
purchase-item:72,purchase:33,819,presentation:858,10,1,10,46.41,464.12,
purchase-item:73,purchase:33,820,presentation:859,10,1,10,658.43,6584.28,
purchase-item:74,purchase:33,821,presentation:860,10,1,10,1085.08,10850.76,
purchase-item:75,purchase:33,822,presentation:861,10,1,10,18.32,183.16,
purchase-item:76,purchase:33,823,presentation:862,10,1,10,24.4,243.95,
purchase-item:77,purchase:33,812,presentation:863,5,1,5,282.58,1412.88,
purchase-item:78,purchase:33,824,presentation:864,10,1,10,17.43,174.35,
purchase-item:79,purchase:33,814,presentation:853,10,1,10,25.43,254.27,
purchase-item:80,purchase:34,826,presentation:866,10,1,10,96.92,969.18,
purchase-item:81,purchase:34,827,presentation:867,10,1,10,119.19,1191.9,
purchase-item:82,purchase:34,828,presentation:868,5,1,5,39,195,
purchase-item:83,purchase:34,829,presentation:869,5,1,5,23,115.01,
purchase-item:84,purchase:34,830,presentation:870,5,1,5,16,79.98,
purchase-item:85,purchase:34,831,presentation:871,5,1,5,23,115.01,
purchase-item:86,purchase:34,832,presentation:872,2,1,2,162.01,324.01,
purchase-item:87,purchase:34,833,presentation:873,12,1,12,29.63,355.52,
purchase-item:88,purchase:34,834,presentation:874,10,1,10,71.73,717.34,
purchase-item:89,purchase:34,835,presentation:875,5,1,5,117,584.99,
purchase-item:90,purchase:34,836,presentation:876,3,1,3,30.4,91.21,
purchase-item:91,purchase:34,837,presentation:877,10,1,10,40.8,407.97,
purchase-item:92,purchase:34,838,presentation:878,3,1,3,146,437.99,
purchase-item:93,purchase:34,839,presentation:879,5,1,5,28.65,143.26,
purchase-item:94,purchase:34,840,presentation:880,10,1,10,29.5,294.99,
purchase-item:95,purchase:34,841,presentation:881,3,1,3,43.8,131.4,
purchase-item:96,purchase:34,842,presentation:882,5,1,5,26.1,130.5,
purchase-item:97,purchase:34,843,presentation:883,5,1,5,55.4,277.01,
purchase-item:98,purchase:34,844,presentation:884,3,1,3,154,462,
purchase-item:99,purchase:34,845,presentation:885,3,1,3,58,174,
purchase-item:100,purchase:34,846,presentation:886,10,1,10,117.6,1176.01,
purchase-item:101,purchase:34,847,presentation:887,5,1,5,60,299.98,
purchase-item:102,purchase:34,848,presentation:888,10,1,10,83.94,839.38,
purchase-item:103,purchase:34,849,presentation:889,5,1,5,34,170,
purchase-item:104,purchase:34,850,presentation:890,10,1,10,4.39,43.85,
purchase-item:105,purchase:34,851,presentation:891,80,1,80,72.99,5839.21,
purchase-item:106,purchase:35,854,presentation:894,1,1,1,1438.4,1438.4,
purchase-item:107,purchase:35,855,presentation:895,1,1,1,1806.7,1806.7,
purchase-item:108,purchase:35,856,presentation:896,1,1,1,1289.78,1289.78,
purchase-item:109,purchase:36,857,presentation:897,10,1,10,9.48,94.8,
