legacy_id,product_legacy_id,uom_legacy_id,purpose,factor_to_base,wholesale_price,retail_price,is_default_purchase,is_default_sale
presentation:1,4,presentation-uom:TON,BOTH,20,4800,4800,false,false
presentation:2,4,presentation-uom:BULTO,BOTH,1,240,240,true,true
presentation:3,5,presentation-uom:TON,BOTH,40,4700,4700,false,false
presentation:4,5,presentation-uom:BULTO,BOTH,1,118,118,true,true
presentation:5,6,presentation-uom:TON,BOTH,20,3900,3900,false,false
presentation:6,6,presentation-uom:BULTO,BOTH,1,195,195,true,true
presentation:7,7,presentation-uom:TON,BOTH,40,3900,3900,false,false
presentation:8,7,presentation-uom:BULTO,BOTH,1,98,98,true,true
presentation:9,8,presentation-uom:TON,BOTH,40,3600,3600,false,false
presentation:10,8,presentation-uom:BULTO,BOTH,1,90,90,true,true
presentation:11,11,presentation-uom:BRT_2,BOTH,1,16,17,true,true
presentation:12,12,presentation-uom:BRT_4,BOTH,1,51,52,true,true
presentation:13,10,presentation-uom:PZA,BOTH,1,33,33,true,true
presentation:14,14,presentation-uom:BOAP_1_2,BOTH,1,864,865,true,true
presentation:15,10,presentation-uom:PZA,BOTH,1,12,13,false,false
presentation:16,9,presentation-uom:PZA,BOTH,1,36,37,true,true
presentation:17,15,presentation-uom:CEPP_52,BOTH,1,69,70,true,true
presentation:18,13,presentation-uom:PZA,BOTH,1,26,27,true,true
presentation:19,16,presentation-uom:PZA,BOTH,1,26,27,true,true
presentation:20,18,presentation-uom:CEPP_55,BOTH,1,45,46,true,true
presentation:21,17,presentation-uom:PZA,BOTH,1,1676,1677,true,true
presentation:22,21,presentation-uom:BOAP_1_2,BOTH,1,86,87,true,true
presentation:23,23,presentation-uom:ATM,BOTH,1,330,331,true,true
presentation:24,25,presentation-uom:PZA,BOTH,1,55,55,true,true
presentation:25,26,presentation-uom:FCN_55M,BOTH,1,157,158,true,true
presentation:26,27,presentation-uom:PZA,BOTH,1,85,85,true,true
presentation:27,28,presentation-uom:PZA,BOTH,1,5,5,true,true
presentation:28,29,presentation-uom:CAT_60ND,BOTH,1,1676,1677,true,true
presentation:29,31,presentation-uom:PZA,BOTH,1,1,1,true,true
presentation:30,30,presentation-uom:FH_5M,BOTH,1,86,87,true,true
presentation:31,32,presentation-uom:MSK_1_2,BOTH,1,17,18,true,true
presentation:32,33,presentation-uom:PZA,BOTH,1,14,14,true,true
presentation:33,34,presentation-uom:PZA,BOTH,1,25,26,true,true
presentation:34,35,presentation-uom:MSK_3_4,BOTH,1,25,26,true,true
presentation:35,36,presentation-uom:LLM_11,BOTH,1,127,128,true,true
presentation:36,37,presentation-uom:MSK_1_1_2,BOTH,1,48,49,true,true
presentation:37,38,presentation-uom:LLM_6L,BOTH,1,110,111,true,true
presentation:38,39,presentation-uom:PZA,BOTH,1,139,140,true,true
presentation:39,40,presentation-uom:LLM_6C,BOTH,1,110,111,true,true
presentation:40,42,presentation-uom:PZA,BOTH,1,32,33,true,true
presentation:41,41,presentation-uom:PZA,BOTH,1,11,11,true,true
presentation:42,43,presentation-uom:PET_10C,BOTH,1,230,231,true,true
presentation:43,44,presentation-uom:PZA,BOTH,1,7,7,true,true
presentation:44,45,presentation-uom:MSK_2,BOTH,1,64,65,true,true
presentation:45,46,presentation-uom:PZA,BOTH,1,27,27,true,true
presentation:46,47,presentation-uom:LL_2014,BOTH,1,63,64,true,true
presentation:47,49,presentation-uom:PZA,BOTH,1,12,12,true,true
presentation:48,48,presentation-uom:MSK_3_4A,BOTH,1,45,46,true,true
presentation:49,50,presentation-uom:LL_2016,BOTH,1,75,76,true,true
presentation:50,51,presentation-uom:PZA,BOTH,1,3,3,true,true
presentation:51,52,presentation-uom:PZA,BOTH,1,22,22,true,true
presentation:52,53,presentation-uom:LL_2024,BOTH,1,121,122,true,true
presentation:53,54,presentation-uom:MSK_1A,BOTH,1,56,57,true,true
presentation:54,55,presentation-uom:PZA,BOTH,1,2,2,true,true
presentation:55,56,presentation-uom:LL_2008M,BOTH,1,52,53,true,true
presentation:56,45,presentation-uom:PZA,BOTH,1,109,110,false,false
presentation:57,59,presentation-uom:CHMA_3,BOTH,1,63,64,true,true
presentation:58,58,presentation-uom:LL_2010M,BOTH,1,56,57,true,true
presentation:59,60,presentation-uom:LL_2013M,BOTH,1,75,76,true,true
presentation:60,61,presentation-uom:BRT_2S,BOTH,1,33,34,true,true
presentation:61,63,presentation-uom:BRT_3S,BOTH,1,54,55,true,true
presentation:62,64,presentation-uom:WT_240,BOTH,1,44,45,true,true
presentation:63,62,presentation-uom:ET_3FX,BOTH,1,77,78,true,true
presentation:64,55,presentation-uom:PZA,BOTH,1,2,2,false,false
presentation:65,66,presentation-uom:PZA,BOTH,1,11,11,true,true
presentation:66,67,presentation-uom:PZA,BOTH,1,25,25,true,true
presentation:67,69,presentation-uom:ET_6FX,BOTH,1,106,107,true,true
presentation:68,70,presentation-uom:PZA,BOTH,1,35,35,true,true
presentation:69,68,presentation-uom:WT_350,BOTH,1,57,58,true,true
presentation:70,72,presentation-uom:PZA,BOTH,1,8,8,true,true
presentation:71,71,presentation-uom:HDU_12_105,BOTH,1,39,40,true,true
presentation:72,73,presentation-uom:WT_550,BOTH,1,86,87,true,true
presentation:73,76,presentation-uom:ROPI_915,BOTH,1,48,49,true,true
presentation:74,74,presentation-uom:PZA,BOTH,1,8,8,true,true
presentation:75,77,presentation-uom:ROPI_925,BOTH,1,51,52,true,true
presentation:76,78,presentation-uom:PZA,BOTH,1,25,25,true,true
presentation:77,75,presentation-uom:MD_3M,BOTH,1,195,196,true,true
presentation:78,79,presentation-uom:PZA,BOTH,1,5,5,true,true
presentation:79,81,presentation-uom:PZA,BOTH,1,3,3,true,true
presentation:80,82,presentation-uom:PZA,BOTH,1,10,10,true,true
presentation:81,80,presentation-uom:MD_4M,BOTH,1,243,244,true,true
presentation:82,83,presentation-uom:PZA,BOTH,1,14,14,true,true
presentation:83,84,presentation-uom:PZA,BOTH,1,3,3,true,true
presentation:84,85,presentation-uom:PZA,BOTH,1,20,20,true,true
presentation:85,87,presentation-uom:PZA,BOTH,1,11,11,true,true
presentation:86,86,presentation-uom:ESMA_4580N,BOTH,1,1100,1100,true,true
