legacy_id,branch_legacy_id,sku,barcode,name,category_legacy_id,base_uom_legacy_id,purchase_price,wholesale_price,retail_price,min_stock,stock_qty,description,is_divisible,is_active,created_at
2,branch:jesus-maria,MAT-00002,,demo,category:materiales,measure:2,0,0,0,1,4,ID producto origen: 2 | Medida origen: Pieza(s),false,false,
3,branch:jesus-maria,MAT-00003,,demo2,category:materiales,measure:3,0,0,0,1,1,ID producto origen: 3 | Medida origen: Metro(s),true,false,
4,branch:jesus-maria,MAT-00004,,CEMENTO HOLCIM(50 KILOS),category:materiales,measure:2,215,240,240,1,0,ID producto origen: 4 | Medida origen: Pieza(s),false,true,
5,branch:jesus-maria,MAT-00005,,CEMENTO HOLCIM 25 KILOS,category:materiales,measure:1,104.2,118,118,1,527,ID producto origen: 5 | Medida origen: Kilo(s),true,false,
6,branch:jesus-maria,MAT-00006,,MORTERO HOLCIM(50 KILOS),category:materiales,measure:2,170,195,195,0,0,ID producto origen: 6 | Medida origen: Pieza(s),false,true,
7,branch:jesus-maria,MAT-00007,,MORTERO 25 HOLCIM,category:materiales,measure:2,83.5,98,98,1,850,ID producto origen: 7 | Medida origen: Pieza(s),false,true,
8,branch:jesus-maria,MAT-00008,,CAL HIDRA,category:materiales,measure:2,69.5,90,90,1,615,ID producto origen: 8 | Medida origen: Pieza(s),false,true,
9,branch:jesus-maria,MAT-00009,4191361223323,COPLE VERDE MACHO 1/2,category:materiales,measure:2,0,36,37,4,5,ID producto origen: 9 | Medida origen: Pieza(s) | Imagen origen: uploads/productos/WhatsApp Image 2025-09-27 at 08.14.45.jpeg | Generado sistema origen: 1,false,true,
10,branch:jesus-maria,MAT-00010,1074953410222,COPLE VERDE HEMBRA 1/2,category:materiales,measure:2,0,33,33,4,8,ID producto origen: 10 | Medida origen: Pieza(s) | Imagen origen: uploads/productos/WhatsApp Image 2025-09-26 at 12.01.49.jpeg | Generado sistema origen: 1,false,true,
11,branch:jesus-maria,MAT-00011,7501206686492,BROCHA PROFESIONAL 2P(TRUPER),category:materiales,measure:2,0,16,17,1,5,ID producto origen: 11 | Medida origen: Pieza(s),false,true,
12,branch:jesus-maria,MAT-00012,7501206686522,"BROCHA PROFESIONAL 4 ""(TRUPER)",category:materiales,measure:2,0,51,52,1,5,ID producto origen: 12 | Medida origen: Pieza(s),false,true,
13,branch:jesus-maria,MAT-00013,6283827134910,REDUCCION PVC 4X6,category:materiales,measure:2,0,26,27,4,10,ID producto origen: 13 | Medida origen: Pieza(s) | Imagen origen: uploads/productos/WhatsApp Image 2025-09-26 at 9.09.45 AM.jpeg | Generado sistema origen: 1,false,true,
14,branch:jesus-maria,MAT-00014,7501206613733,bomba pereferica 1/2,category:materiales,measure:2,0,864,865,1,1,ID producto origen: 14 | Medida origen: Pieza(s),false,true,
15,branch:jesus-maria,MAT-00015,7501206611883,CEPILLO PINTOR CERDA COLA DE CABALLO,category:materiales,measure:2,0,69,70,1,3,ID producto origen: 15 | Medida origen: Pieza(s),false,true,
16,branch:jesus-maria,MAT-00016,7992453103595,YEE PVC 3,category:materiales,measure:2,23.26,26,27,4,38,ID producto origen: 16 | Medida origen: Pieza(s) | Imagen origen: uploads/productos/WhatsApp Image 2025-09-26 at 09.21.59.jpeg | Generado sistema origen: 1,false,true,
17,branch:jesus-maria,MAT-00017,,CARRETILLA IMPONCHABLE TRUPER,category:materiales,measure:2,0,1676,1677,1,1,ID producto origen: 17 | Medida origen: Pieza(s),false,false,
18,branch:jesus-maria,MAT-00018,7506240606932,CEPILLO PINTOR SINTETICO,category:materiales,measure:2,0,45,46,1,0,ID producto origen: 18 | Medida origen: Pieza(s),false,true,
19,branch:jesus-maria,MAT-00019,,CARRETILLA 5FT3 IMPONCHABLE TRUPER,category:materiales,measure:2,0,1675,1676,1,0,ID producto origen: 19 | Medida origen: Pieza(s),false,true,
20,branch:jesus-maria,MAT-00020,,COMPLE VERDE MACHO 3/4,category:materiales,measure:2,0,0,0,4,10,ID producto origen: 20 | Medida origen: Pieza(s),false,false,
21,branch:jesus-maria,MAT-00021,7501206652190,ASPERSOR PLASTICO 11P ESTACA METALICA TRUPER,category:materiales,measure:2,0,86,87,1,3,ID producto origen: 21 | Medida origen: Pieza(s),false,true,
22,branch:jesus-maria,MAT-00022,,COMPLE VERDE MACHO 3/4,category:materiales,measure:2,0,0,0,4,10,ID producto origen: 22 | Medida origen: Pieza(s),false,false,
23,branch:jesus-maria,MAT-00023,7501206632000,AZADON MEZCLERO,category:materiales,measure:2,0,330,331,1,2,ID producto origen: 23 | Medida origen: Pieza(s),false,true,
24,branch:jesus-maria,MAT-00024,,COMPLE VERDE MACHO 3/4,category:materiales,measure:2,0,23,23,4,10,ID producto origen: 24 | Medida origen: Pieza(s),false,false,
25,branch:jesus-maria,MAT-00025,0730463802957,COPLE VERDE MACHO 3/4,category:materiales,measure:2,0,55,55,4,7,ID producto origen: 25 | Medida origen: Pieza(s) | Imagen origen: uploads/productos/WhatsApp Image 2025-09-27 at 08.14.57.jpeg | Generado sistema origen: 1,false,true,
26,branch:jesus-maria,MAT-00026,7506240673828,FLEXOMETRO CONTRA IMPACTOS 5.5M,category:materiales,measure:2,0,157,158,1,2,ID producto origen: 26 | Medida origen: Pieza(s),false,true,
27,branch:jesus-maria,MAT-00027,5321418922629,CODO PVC 6X90,category:materiales,measure:2,71.44,85,85,4,27,ID producto origen: 27 | Medida origen: Pieza(s) | Imagen origen: uploads/productos/WhatsApp Image 2025-09-26 at 09.07.21.jpeg | Generado sistema origen: 1,false,true,
28,branch:jesus-maria,MAT-00028,2065714039546,TAPON VERDE 3/4,category:materiales,measure:2,0,5,5,4,8,ID producto origen: 28 | Medida origen: Pieza(s) | Imagen origen: uploads/productos/WhatsApp Image 2025-09-27 at 09.29.42.jpeg | Generado sistema origen: 1,false,true,
29,branch:jesus-maria,MAT-00029,,CARRETILLA 6 FT3 NEUMATICA,category:materiales,measure:2,1245.69,1676,1677,1,0,ID producto origen: 29 | Medida origen: Pieza(s),false,true,
30,branch:jesus-maria,MAT-00030,7501206673324,FLEXOMETRO GRIPPER 5M (TRUPER),category:materiales,measure:2,0,86,87,1,3,ID producto origen: 30 | Medida origen: Pieza(s),false,true,
31,branch:jesus-maria,MAT-00031,7901700683346,TAPON CPVC 1/2,category:materiales,measure:2,0.59,1,1,4,20,ID producto origen: 31 | Medida origen: Pieza(s) | Imagen origen: uploads/productos/WhatsApp Image 2025-09-26 at 3.01.31 PM.jpeg | Generado sistema origen: 1,false,true,
32,branch:jesus-maria,MAT-00032,7501206679166,CINTA MASKING TAPE 12MMX50MM,category:materiales,measure:2,0,17,18,1,6,ID producto origen: 32 | Medida origen: Pieza(s),false,true,
33,branch:jesus-maria,MAT-00033,2225875368903,TEE VERDE 3/4,category:materiales,measure:2,10.58,14,14,4,27,ID producto origen: 33 | Medida origen: Pieza(s) | Imagen origen: uploads/productos/WhatsApp Image 2025-09-26 at 12.01.26.jpeg | Generado sistema origen: 1,false,true,
34,branch:jesus-maria,MAT-00034,506240635161,ACEITE 2 TIEMPOS 60ML,category:materiales,measure:2,0,26,26,1,1,ID producto origen: 34 | Medida origen: Pieza(s),false,true,
35,branch:jesus-maria,MAT-00035,7501206679173,CINTA MASKING TAPE 18MMX50MM,category:materiales,measure:2,0,25,26,1,6,ID producto origen: 35 | Medida origen: Pieza(s),false,true,
36,branch:jesus-maria,MAT-00036,,LLANA 11P 10 REMACHES TRUPER,category:materiales,measure:2,0,127,128,1,0,ID producto origen: 36 | Medida origen: Pieza(s),false,true,
37,branch:jesus-maria,MAT-00037,7501206679197,CINTA MASKING TAPE 36MMX50M,category:materiales,measure:2,0,48,49,1,4,ID producto origen: 37 | Medida origen: Pieza(s),false,true,
38,branch:jesus-maria,MAT-00038,7501206633762,"LLANA 11""X5"" TRUPER",category:materiales,measure:2,0,110,111,1,0,ID producto origen: 38 | Medida origen: Pieza(s),false,true,
39,branch:jesus-maria,MAT-00039,5179344591637,TEE COBRE 1,category:materiales,measure:2,0,139,140,1,10,ID producto origen: 39 | Medida origen: Pieza(s) | Imagen origen: uploads/productos/WhatsApp Image 2025-09-27 at 09.29.16.jpeg | Generado sistema origen: 1,false,true,
40,branch:jesus-maria,MAT-00040,7501206674376,"LLANA DENTADA 11""X5"" TRUPER",category:materiales,measure:2,81.9,110,111,1,2,ID producto origen: 40 | Medida origen: Pieza(s),false,true,
41,branch:jesus-maria,MAT-00041,0296354357284,COPLE VERDE 3/4,category:materiales,measure:2,6.3,11,11,4,30,ID producto origen: 41 | Medida origen: Pieza(s) | Imagen origen: uploads/productos/WhatsApp Image 2025-09-27 at 08.13.46.jpeg | Generado sistema origen: 1,false,true,
42,branch:jesus-maria,MAT-00042,7501206679180,CINTA MASKING 24MMX50M TRUPER,category:materiales,measure:2,0,32,33,1,4,ID producto origen: 42 | Medida origen: Pieza(s),false,true,
43,branch:jesus-maria,MAT-00043,7501206641415,LLAVE AJUSTABLE PERICO 10P EXPERT,category:materiales,measure:2,0,230,231,1,1,ID producto origen: 43 | Medida origen: Pieza(s),false,true,
44,branch:jesus-maria,MAT-00044,0890562703774,CODO VERDE 1X90,category:materiales,measure:2,3.99,7,7,4,50,ID producto origen: 44 | Medida origen: Pieza(s) | Imagen origen: uploads/productos/WhatsApp Image 2025-09-27 at 08.59.32.jpeg | Generado sistema origen: 1,false,true,
45,branch:jesus-maria,MAT-00045,7501206679203,CINTA MASKING TAPE 48MMX50M,category:materiales,measure:2,0,64,65,1,6,ID producto origen: 45 | Medida origen: Pieza(s),false,true,
46,branch:jesus-maria,MAT-00046,8235217694908,CODO PIPA MACHO 3/4(VERDE),category:materiales,measure:2,0,27,27,4,10,ID producto origen: 46 | Medida origen: Pieza(s) | Imagen origen: uploads/productos/WhatsApp Image 2025-09-26 at 11.01.56.jpeg | Generado sistema origen: 1,false,true,
47,branch:jesus-maria,MAT-00047,7501206647158,"LLAVE COMBINADA 7/16"" TRUPER EXPERT",category:materiales,measure:2,0,63,64,1,2,ID producto origen: 47 | Medida origen: Pieza(s),false,true,
48,branch:jesus-maria,MAT-00048,7501206693308,CINTA MASKING TAPE AZUL 18MMX50M TRUPER,category:materiales,measure:2,0,45,46,1,6,ID producto origen: 48 | Medida origen: Pieza(s),false,true,
49,branch:jesus-maria,MAT-00049,0386346233914,REDUCCION PVC 3X4,category:materiales,measure:2,0,12,12,4,9,ID producto origen: 49 | Medida origen: Pieza(s) | Imagen origen: uploads/productos/WhatsApp Image 2025-09-26 at 09.21.40.jpeg | Generado sistema origen: 1,false,true,
50,branch:jesus-maria,MAT-00050,7501206647165,"LLAVE COMBINADA 1/2"" TRUPER EXPERT",category:materiales,measure:2,0,75,76,1,0,ID producto origen: 50 | Medida origen: Pieza(s),false,true,
51,branch:jesus-maria,MAT-00051,8391648340101,ADAPTADOR CPVC BUSH HEMBRA 1/2,category:materiales,measure:2,1.8,3,3,4,22,ID producto origen: 51 | Medida origen: Pieza(s) | Imagen origen: uploads/productos/WhatsApp Image 2025-09-27 at 10.58.16 (1).jpeg | Generado sistema origen: 1,false,true,
52,branch:jesus-maria,MAT-00052,0181845830165,TUERCA UNION VERDE 3/4,category:materiales,measure:2,0,22,22,4,8,ID producto origen: 52 | Medida origen: Pieza(s) | Imagen origen: uploads/productos/WhatsApp Image 2025-09-27 at 08.59.19.jpeg | Generado sistema origen: 1,false,true,
53,branch:jesus-maria,MAT-00053,7501206647202,"LLAVE COMBINADA 3/4"" TRUPER EXPERT",category:materiales,measure:2,0,121,122,1,2,ID producto origen: 53 | Medida origen: Pieza(s),false,true,
54,branch:jesus-maria,MAT-00054,7501206693315,CINTA MASKING TAPE AZUL 24MMX50M TRUPER,category:materiales,measure:2,0,56,57,1,4,ID producto origen: 54 | Medida origen: Pieza(s),false,true,
55,branch:jesus-maria,MAT-00055,5154303073638,CODO CPVC 1/2X45,category:materiales,measure:2,0.93,2,2,4,27,ID producto origen: 55 | Medida origen: Pieza(s) | Imagen origen: uploads/productos/WhatsApp Image 2025-09-27 at 12.28.17.jpeg | Generado sistema origen: 1,false,true,
56,branch:jesus-maria,MAT-00056,7501206642641,LLAVE COMBINADA 8MM TRUPER EXPERT,category:materiales,measure:2,0,52,53,1,1,ID producto origen: 56 | Medida origen: Pieza(s),false,true,
57,branch:jesus-maria,MAT-00057,7501206693339,CINTA MASKING TAPE AZUL 48MMX50M TRUPER,category:materiales,measure:2,0,109,110,1,2,ID producto origen: 57 | Medida origen: Pieza(s),false,true,
58,branch:jesus-maria,MAT-00058,7501206647219,LLAVE COMBINADA 10MM TRUPER EXPERT,category:materiales,measure:2,0,56,57,1,0,ID producto origen: 58 | Medida origen: Pieza(s),false,true,
59,branch:jesus-maria,MAT-00059,7501206652213,"CHIFLON 3"" DE LATON TRUPER",category:materiales,measure:2,0,63,64,1,1,ID producto origen: 59 | Medida origen: Pieza(s),false,true,
60,branch:jesus-maria,MAT-00060,7501206647240,LLAVE COMBINADA 13MM TRUPER EXPERT,category:materiales,measure:2,0,75,76,1,0,ID producto origen: 60 | Medida origen: Pieza(s),false,true,
61,branch:jesus-maria,MAT-00061,7506240647973,BROCHA CORTE RECTO 2P (TRUPER),category:materiales,measure:2,0,33,34,1,6,ID producto origen: 61 | Medida origen: Pieza(s),false,true,
62,branch:jesus-maria,MAT-00062,7506240622246,ESPATULA FLEXIBLE 3P ACERO INOX EXPERT,category:materiales,measure:2,0,77,78,1,0,ID producto origen: 62 | Medida origen: Pieza(s),false,true,
63,branch:jesus-maria,MAT-00063,7506240647997,"BROCHA CORTE RECTO 3"" TRUPER",category:materiales,measure:2,0,54,55,1,4,ID producto origen: 63 | Medida origen: Pieza(s),false,true,
64,branch:jesus-maria,MAT-00064,7506240653288,LUBRICANTE MULTIUSOS AEROSOL 235 ML TRUPER,category:materiales,measure:2,0,44,45,1,2,ID producto origen: 64 | Medida origen: Pieza(s),false,true,
65,branch:jesus-maria,MAT-00065,0894912921344,CODO VERDE 1/2X45,category:materiales,measure:2,0,0,0,4,36,ID producto origen: 65 | Medida origen: Pieza(s),false,true,
66,branch:jesus-maria,MAT-00066,0894912921344,CODO VERDE 1/2X45,category:materiales,measure:2,8.46,11,11,4,35,ID producto origen: 66 | Medida origen: Pieza(s) | Imagen origen: uploads/productos/WhatsApp Image 2025-09-26 at 12.03.11 (1).jpeg | Generado sistema origen: 1,false,false,
67,branch:jesus-maria,MAT-00067,4679641887200,ADAPTADOR CPVC MACHO 1/2 C/LATON,category:materiales,measure:2,21.53,25,25,2,40,ID producto origen: 67 | Medida origen: Pieza(s) | Imagen origen: uploads/productos/WhatsApp Image 2025-09-27 at 8.04.01 AM.jpeg | Generado sistema origen: 1,false,true,
68,branch:jesus-maria,MAT-00068,7506240653295,LUBRICANTE MULTIUSOS AEROSOL 345 ML TRUPER,category:materiales,measure:2,0,57,58,1,-3,ID producto origen: 68 | Medida origen: Pieza(s),false,true,
69,branch:jesus-maria,MAT-00069,7506240622277,ESPATULA FLEXIBLE 6P TRUPER EXPERT,category:materiales,measure:2,0,106,107,1,2,ID producto origen: 69 | Medida origen: Pieza(s),false,true,
70,branch:jesus-maria,MAT-00070,6616457255630,CODO PVC 4X90,category:materiales,measure:2,18.34,35,35,4,29,ID producto origen: 70 | Medida origen: Pieza(s) | Imagen origen: uploads/productos/WhatsApp Image 2025-09-26 at 11.34.38 AM.jpeg | Generado sistema origen: 1,false,true,
71,branch:jesus-maria,MAT-00071,7506240638803,HILO DUAL P/ DESBROZADORA 2.7MM X 12MM TRUPER EXPERT,category:materiales,measure:2,0,39,40,1,2,ID producto origen: 71 | Medida origen: Pieza(s),false,true,
72,branch:jesus-maria,MAT-00072,2293067605082,CODO VERDE 3/4X90,category:materiales,measure:2,5.6,8,8,1,4,ID producto origen: 72 | Medida origen: Pieza(s) | Imagen origen: uploads/productos/WhatsApp Image 2025-09-27 at 08.59.46.jpeg | Generado sistema origen: 1,false,true,
73,branch:jesus-maria,MAT-00073,7506240653318,LUBRICANTE MULTIUSOS AEROSOL 550 ML TRUPER,category:materiales,measure:2,0,86,87,1,0,ID producto origen: 73 | Medida origen: Pieza(s),false,true,
74,branch:jesus-maria,MAT-00074,4448753441804,TAPON VERDE 1/2,category:materiales,measure:2,32.22,8,8,4,38,ID producto origen: 74 | Medida origen: Pieza(s) | Imagen origen: uploads/productos/WhatsApp Image 2025-09-27 at 09.29.27.jpeg | Generado sistema origen: 1,false,true,
75,branch:jesus-maria,MAT-00075,7501206630310,MARRO 3LB TRUPER,category:materiales,measure:2,145.69,195,196,1,1,ID producto origen: 75 | Medida origen: Pieza(s),false,true,
76,branch:jesus-maria,MAT-00076,7506240645238,RODILLO 5/8,category:materiales,measure:2,0,48,49,1,1,ID producto origen: 76 | Medida origen: Pieza(s),false,true,
77,branch:jesus-maria,MAT-00077,7506240645252,"RODILLO 1"" TRUPER NARANJA",category:materiales,measure:2,0,51,52,1,2,ID producto origen: 77 | Medida origen: Pieza(s),false,true,
78,branch:jesus-maria,MAT-00078,5980590266961,CODO PIPA VERDE HEMBRA 3/4,category:materiales,measure:2,0,25,25,4,8,ID producto origen: 78 | Medida origen: Pieza(s) | Imagen origen: uploads/productos/WhatsApp Image 2025-09-26 at 12.04.47.jpeg | Generado sistema origen: 1,false,true,
79,branch:jesus-maria,MAT-00079,4282062295617,"TAPON VERDE 1""",category:materiales,measure:2,0,5,5,4,10,ID producto origen: 79 | Medida origen: Pieza(s) | Imagen origen: uploads/productos/WhatsApp Image 2025-09-27 at 09.30.00.jpeg | Generado sistema origen: 1,false,true,
80,branch:jesus-maria,MAT-00080,7501206675816,MARRO 4LB TRUPER,category:materiales,measure:2,181.03,243,244,1,2,ID producto origen: 80 | Medida origen: Pieza(s),false,true,
81,branch:jesus-maria,MAT-00081,7682083265298,COPLE CPVC 1/2,category:materiales,measure:2,0.69,3,3,4,30,ID producto origen: 81 | Medida origen: Pieza(s) | Imagen origen: uploads/productos/WhatsApp Image 2025-09-27 at 12.48.33.jpeg | Generado sistema origen: 1,false,true,
82,branch:jesus-maria,MAT-00082,5282820939783,YEE PVC 2,category:materiales,measure:2,0,10,10,4,7,ID producto origen: 82 | Medida origen: Pieza(s) | Imagen origen: uploads/productos/WhatsApp Image 2025-09-26 at 11.32.26 AM.jpeg | Generado sistema origen: 1,false,true,
83,branch:jesus-maria,MAT-00083,7454607598256,CODO VERDE 3/4X45,category:materiales,measure:2,5.6,14,14,4,116,ID producto origen: 83 | Medida origen: Pieza(s) | Imagen origen: uploads/productos/WhatsApp Image 2025-09-26 at 12.03.29.jpeg | Generado sistema origen: 1,false,true,
