legacy_id,code,name
presentation-uom:001_12,001_12,001-12
presentation-uom:0085,0085,0085
presentation-uom:01_003_1_4X1,01_003_1_4X1,01-003-1/4X1
presentation-uom:01_003_1_4X1_1_2,01_003_1_4X1_1_2,01-003-1/4X1-1/2
presentation-uom:01_003_1_4X1_1_4,01_003_1_4X1_1_4,01-003-1/4X1-1/4
presentation-uom:01_003_1_4X1_2,01_003_1_4X1_2,01-003-1/4X1/2
presentation-uom:01_003_1_4X1_3_4,01_003_1_4X1_3_4,01-003-1/4X1-3/4
presentation-uom:01_003_1_4X2,01_003_1_4X2,01-003-1/4X2
presentation-uom:01_003_1_4X2_1_2,01_003_1_4X2_1_2,01-003-1/4X2-1/2
presentation-uom:01_003_1_4X3,01_003_1_4X3,01-003-1/4X3
presentation-uom:01_003_1_4X3_4,01_003_1_4X3_4,01-003-1/4X3/4
presentation-uom:01_003_1_4X5_8,01_003_1_4X5_8,01-003-1/4X5/8
presentation-uom:01_003_3_8X1,01_003_3_8X1,01-003-3/8X1
presentation-uom:01_003_3_8X1_1_2,01_003_3_8X1_1_2,01-003-3/8X1-1/2
presentation-uom:01_003_3_8X1_1_4,01_003_3_8X1_1_4,01-003-3/8X1-1/4
presentation-uom:01_003_3_8X1_3_4,01_003_3_8X1_3_4,01-003-3/8X1-3/4
presentation-uom:01_003_3_8X2,01_003_3_8X2,01-003-3/8X2
presentation-uom:01_003_3_8X2_1_2,01_003_3_8X2_1_2,01-003-3/8X2-1/2
presentation-uom:01_003_3_8X3,01_003_3_8X3,01-003-3/8X3
presentation-uom:01_003_5_16X1,01_003_5_16X1,01-003-5/16X1
presentation-uom:01_003_5_16X1_1_2,01_003_5_16X1_1_2,01-003-5/16X1-1/2
presentation-uom:01_003_5_16X1_1_4,01_003_5_16X1_1_4,01-003-5/16X1-1/4
presentation-uom:01_003_5_16X2,01_003_5_16X2,01-003-5/16X2
presentation-uom:01_003_5_16X2_1_2,01_003_5_16X2_1_2,01-003-5/16X2-1/2
presentation-uom:01_003_5_16X3,01_003_5_16X3,01-003-5/16X3
presentation-uom:01_003_5_16X3_4,01_003_5_16X3_4,01-003-5/16X3/4
presentation-uom:01_009_1_2X1,01_009_1_2X1,01-009-1/2X1
presentation-uom:01_009_1_2X1_1_2,01_009_1_2X1_1_2,01-009-1/2X1-1/2
presentation-uom:01_009_1_2X1_1_4,01_009_1_2X1_1_4,01-009-1/2X1-1/4
presentation-uom:01_009_1_4X1,01_009_1_4X1,01-009-1/4X1
presentation-uom:01_009_1_4X1_1_2,01_009_1_4X1_1_2,01-009-1/4X1-1/2
presentation-uom:01_009_1_4X1_1_4,01_009_1_4X1_1_4,01-009-1/4X1-1/4
presentation-uom:01_009_1_4X1_2,01_009_1_4X1_2,01-009-1/4X1/2
presentation-uom:01_009_1_4X1_3_4,01_009_1_4X1_3_4,01-009-1/4X1-3/4
presentation-uom:01_009_1_4X2,01_009_1_4X2,01-009-1/4X2
presentation-uom:01_009_1_4X3_4,01_009_1_4X3_4,01-009-1/4X3/4
presentation-uom:01_009_1_4X5_8,01_009_1_4X5_8,01-009-1/4X5/8
presentation-uom:01_009_3_4X2,01_009_3_4X2,01-009-3/4X2
presentation-uom:01_009_3_4X2_1_2,01_009_3_4X2_1_2,01-009-3/4X2-1/2
presentation-uom:01_009_3_8X1,01_009_3_8X1,01-009-3/8X1
presentation-uom:01_009_3_8X1_1_2,01_009_3_8X1_1_2,01-009-3/8X1-1/2
presentation-uom:01_009_3_8X1_1_4,01_009_3_8X1_1_4,01-009-3/8X1-1/4
presentation-uom:01_009_3_8X1_2,01_009_3_8X1_2,01-009-3/8X1/2
presentation-uom:01_009_3_8X1_3_4,01_009_3_8X1_3_4,01-009-3/8X1-3/4
presentation-uom:01_009_3_8X2,01_009_3_8X2,01-009-3/8X2
presentation-uom:01_009_3_8X3_4,01_009_3_8X3_4,01-009-3/8X3/4
presentation-uom:01_009_5_16X1,01_009_5_16X1,01-009-5/16X1
presentation-uom:01_009_5_16X1_1_2,01_009_5_16X1_1_2,01-009-5/16X1-1/2
presentation-uom:01_009_5_16X1_1_4,01_009_5_16X1_1_4,01-009-5/16X1-1/4
presentation-uom:01_009_5_16X1_2,01_009_5_16X1_2,01-009-5/16X1/2
presentation-uom:01_009_5_16X1_3_4,01_009_5_16X1_3_4,01-009-5/16X1-3/4
presentation-uom:01_009_5_16X2,01_009_5_16X2,01-009-5/16X2
presentation-uom:01_009_5_16X3_4,01_009_5_16X3_4,01-009-5/16X3/4
presentation-uom:01_009_5_8X1_3_4,01_009_5_8X1_3_4,01-009-5/8X1-3/4
presentation-uom:01_009_5_8X2,01_009_5_8X2,01-009-5/8X2
presentation-uom:01_009_7_16X1,01_009_7_16X1,01-009-7/16X1
presentation-uom:01_009_7_16X1_1_2,01_009_7_16X1_1_2,01-009-7/16X1-1/2
presentation-uom:01_009_7_16X1_1_4,01_009_7_16X1_1_4,01-009-7/16X1-1/4
presentation-uom:01_009_7_16X1_3_4,01_009_7_16X1_3_4,01-009-7/16X1-3/4
presentation-uom:01_009_7_16X2,01_009_7_16X2,01-009-7/16X2
presentation-uom:01_009_9_16X1_1_2,01_009_9_16X1_1_2,01-009-9/16X1-1/2
presentation-uom:01_009_9_16X1_3_4,01_009_9_16X1_3_4,01-009-9/16X1-3/4
presentation-uom:01_009_9_16X2,01_009_9_16X2,01-009-9/16X2
presentation-uom:01_010_1_2X2,01_010_1_2X2,01-010-1/2X2
presentation-uom:01_010_1_2X2_1_2,01_010_1_2X2_1_2,01-010-1/2X2-1/2
presentation-uom:01_010_1_2X2_1_4,01_010_1_2X2_1_4,01-010-1/2X2-1/4
presentation-uom:01_010_1_2X3,01_010_1_2X3,01-010-1/2X3
presentation-uom:01_010_1_2X3_1_2,01_010_1_2X3_1_2,01-010-1/2X3-1/2
presentation-uom:01_010_1_2X4,01_010_1_2X4,01-010-1/2X4
presentation-uom:01_010_1_4X2_1_2,01_010_1_4X2_1_2,01-010-1/4X2-1/2
presentation-uom:01_010_1_4X3,01_010_1_4X3,01-010-1/4X3
presentation-uom:01_010_1_4X4_1_2,01_010_1_4X4_1_2,01-010-1/4X4-1/2
presentation-uom:01_010_1_4X5,01_010_1_4X5,01-010-1/4X5
presentation-uom:01_010_3_4X3_1_2,01_010_3_4X3_1_2,01-010-3/4X3-1/2
presentation-uom:01_010_3_4X4,01_010_3_4X4,01-010-3/4X4
presentation-uom:01_010_3_4X4_1_2,01_010_3_4X4_1_2,01-010-3/4X4-1/2
presentation-uom:01_010_3_4X5,01_010_3_4X5,01-010-3/4X5
presentation-uom:01_010_3_4X5_1_2,01_010_3_4X5_1_2,01-010-3/4X5-1/2
presentation-uom:01_010_3_4X6,01_010_3_4X6,01-010-3/4X6
presentation-uom:01_010_3_4X6_1_2,01_010_3_4X6_1_2,01-010-3/4X6-1/2
presentation-uom:01_010_3_4X7,01_010_3_4X7,01-010-3/4X7
presentation-uom:01_010_3_4X8,01_010_3_4X8,01-010-3/4X8
presentation-uom:01_010_3_8X2_1_2,01_010_3_8X2_1_2,01-010-3/8X2-1/2
presentation-uom:01_010_3_8X3,01_010_3_8X3,01-010-3/8X3
presentation-uom:01_010_5_16X2_1_2,01_010_5_16X2_1_2,01-010-5/16X2-1/2
presentation-uom:01_010_5_16X3,01_010_5_16X3,01-010-5/16X3
presentation-uom:01_010_5_8X3,01_010_5_8X3,01-010-5/8X3
presentation-uom:01_010_5_8X3_1_2,01_010_5_8X3_1_2,01-010-5/8X3-1/2
presentation-uom:01_010_5_8X31_2,01_010_5_8X31_2,01-010-5/8X31/2
presentation-uom:01_010_5_8X4,01_010_5_8X4,01-010-5/8X4
presentation-uom:01_010_5_8X7,01_010_5_8X7,01-010-5/8X7
presentation-uom:01_010_5_8X8,01_010_5_8X8,01-010-5/8X8
presentation-uom:01_010_7_16X2_1_2,01_010_7_16X2_1_2,01-010-7/16X2-1/2
presentation-uom:01_010_7_16X3,01_010_7_16X3,01-010-7/16X3
presentation-uom:01_010_7_16X3_1_2,01_010_7_16X3_1_2,01-010-7/16X3-1/2
presentation-uom:01_010_7_16X4,01_010_7_16X4,01-010-7/16X4
presentation-uom:01_010_9_16X2_1_2,01_010_9_16X2_1_2,01-010-9/16X2-1/2
presentation-uom:01_010_9_16X3,01_010_9_16X3,01-010-9/16X3
presentation-uom:01_010_9_16X3_1_2,01_010_9_16X3_1_2,01-010-9/16X3-1/2
presentation-uom:01_010_9_16X4,01_010_9_16X4,01-010-9/16X4
presentation-uom:01_010_9_16X4_1_2,01_010_9_16X4_1_2,01-010-9/16X4-1/2
presentation-uom:01_010_9_16X5,01_010_9_16X5,01-010-9/16X5
presentation-uom:01_023_6X20,01_023_6X20,01-023-6X20
presentation-uom:01_023_6X25,01_023_6X25,01-023-6X25
presentation-uom:01_023_6X30,01_023_6X30,01-023-6X30
presentation-uom:01_023_6X35,01_023_6X35,01-023-6X35
presentation-uom:01_023_6X40,01_023_6X40,01-023-6X40
presentation-uom:01_023_6X45,01_023_6X45,01-023-6X45
presentation-uom:01_023_6X50,01_023_6X50,01-023-6X50
presentation-uom:01_023_6X55,01_023_6X55,01-023-6X55
presentation-uom:01_023_8X12,01_023_8X12,01-023-8X12
presentation-uom:01_023_8X16,01_023_8X16,01-023-8X16
presentation-uom:01_023_8X20,01_023_8X20,01-023-8X20
presentation-uom:01_023_8X25,01_023_8X25,01-023-8X25
presentation-uom:01_023_8X30,01_023_8X30,01-023-8X30
presentation-uom:01_023_8X35,01_023_8X35,01-023-8X35
presentation-uom:01_023_8X45,01_023_8X45,01-023-8X45
presentation-uom:01_0238X40,01_0238X40,01-0238X40
presentation-uom:02_002_1_4,02_002_1_4,02-002-1/4
