product_legacy_id,branch_legacy_id,qty
2,branch:default,4
3,branch:default,1
4,branch:default,0
5,branch:default,527
6,branch:default,0
7,branch:default,850
8,branch:default,615
9,branch:default,5
10,branch:default,8
11,branch:default,5
12,branch:default,5
13,branch:default,10
14,branch:default,1
15,branch:default,3
16,branch:default,38
17,branch:default,1
18,branch:default,0
19,branch:default,0
20,branch:default,10
21,branch:default,3
22,branch:default,10
23,branch:default,2
24,branch:default,10
25,branch:default,7
26,branch:default,2
27,branch:default,27
28,branch:default,8
29,branch:default,0
30,branch:default,3
31,branch:default,20
32,branch:default,6
33,branch:default,27
34,branch:default,1
35,branch:default,6
36,branch:default,0
37,branch:default,4
38,branch:default,0
39,branch:default,10
40,branch:default,2
41,branch:default,30
42,branch:default,4
43,branch:default,1
44,branch:default,50
45,branch:default,6
46,branch:default,10
47,branch:default,2
48,branch:default,6
49,branch:default,9
50,branch:default,0
51,branch:default,22
52,branch:default,8
53,branch:default,2
54,branch:default,4
55,branch:default,27
56,branch:default,1
57,branch:default,2
58,branch:default,0
59,branch:default,1
60,branch:default,0
61,branch:default,6
62,branch:default,0
63,branch:default,4
64,branch:default,2
65,branch:default,36
66,branch:default,35
67,branch:default,40
68,branch:default,-3
69,branch:default,2
70,branch:default,29
71,branch:default,2
72,branch:default,4
73,branch:default,0
74,branch:default,38
75,branch:default,1
76,branch:default,1
77,branch:default,2
78,branch:default,8
79,branch:default,10
80,branch:default,2
81,branch:default,30
82,branch:default,7
83,branch:default,116
84,branch:default,29
85,branch:default,40
86,branch:default,2
87,branch:default,10
88,branch:default,1
89,branch:default,29
90,branch:default,2
91,branch:default,0
92,branch:default,1
93,branch:default,9
94,branch:default,3
95,branch:default,3
96,branch:default,10
97,branch:default,2
98,branch:default,40
99,branch:default,2
100,branch:default,0
101,branch:default,2
102,branch:default,2
103,branch:default,3
104,branch:default,8
105,branch:default,1
106,branch:default,2
107,branch:default,1
108,branch:default,4
109,branch:default,9
110,branch:default,3
111,branch:default,0
112,branch:default,25
113,branch:default,3
114,branch:default,1
115,branch:default,9
116,branch:default,1
117,branch:default,1
118,branch:default,0
119,branch:default,28
120,branch:default,1
121,branch:default,0
122,branch:default,27
123,branch:default,29
124,branch:default,5
125,branch:default,7
126,branch:default,5
127,branch:default,0
128,branch:default,9
129,branch:default,2
130,branch:default,5
131,branch:default,19
132,branch:default,3
133,branch:default,10
134,branch:default,4
135,branch:default,1
136,branch:default,8
137,branch:default,0
138,branch:default,9
139,branch:default,3
140,branch:default,3
141,branch:default,6
142,branch:default,3
143,branch:default,2
144,branch:default,3
145,branch:default,8
146,branch:default,11
147,branch:default,0
148,branch:default,3
149,branch:default,10
150,branch:default,3
151,branch:default,2
152,branch:default,18
153,branch:default,6
154,branch:default,3
155,branch:default,3
156,branch:default,41
157,branch:default,3
158,branch:default,3
159,branch:default,3
160,branch:default,40
161,branch:default,10
162,branch:default,-1
163,branch:default,2
164,branch:default,1
165,branch:default,9
166,branch:default,6
167,branch:default,1
168,branch:default,45
169,branch:default,0
170,branch:default,2
171,branch:default,42
172,branch:default,0
173,branch:default,41
174,branch:default,0
175,branch:default,11
176,branch:default,0
177,branch:default,0
178,branch:default,4
179,branch:default,0
180,branch:default,2
181,branch:default,9
182,branch:default,0
183,branch:default,2
184,branch:default,2
185,branch:default,10
186,branch:default,2
187,branch:default,1
188,branch:default,12
189,branch:default,32
190,branch:default,63
191,branch:default,3
192,branch:default,2
193,branch:default,7
194,branch:default,42
195,branch:default,2
196,branch:default,60
197,branch:default,3
198,branch:default,85
199,branch:default,9
200,branch:default,3
201,branch:default,-100
202,branch:default,3
203,branch:default,30
204,branch:default,50
205,branch:default,3
206,branch:default,0
207,branch:default,1
208,branch:default,2
209,branch:default,0
210,branch:default,0
211,branch:default,10
212,branch:default,5
213,branch:default,0
214,branch:default,1
215,branch:default,10
216,branch:default,2
217,branch:default,0
218,branch:default,10
219,branch:default,3
220,branch:default,5
221,branch:default,1
222,branch:default,27
223,branch:default,1
224,branch:default,48
225,branch:default,1
226,branch:default,6
227,branch:default,0
228,branch:default,1
229,branch:default,10
230,branch:default,7
231,branch:default,6
232,branch:default,0
233,branch:default,36
234,branch:default,24
235,branch:default,0
236,branch:default,3
237,branch:default,49
238,branch:default,10
239,branch:default,5
240,branch:default,12
241,branch:default,25
242,branch:default,0
243,branch:default,3
244,branch:default,47
245,branch:default,0
246,branch:default,10
247,branch:default,0
248,branch:default,10
249,branch:default,10
250,branch:default,40
251,branch:default,5
252,branch:default,8
253,branch:default,500
254,branch:default,33
255,branch:default,11
256,branch:default,1
257,branch:default,30
258,branch:default,-7
259,branch:default,100
260,branch:default,16
261,branch:default,45
262,branch:default,25
263,branch:default,1
264,branch:default,21
265,branch:default,9
266,branch:default,8
267,branch:default,25
268,branch:default,25
269,branch:default,12
270,branch:default,12
271,branch:default,20
272,branch:default,1
273,branch:default,0
274,branch:default,20
275,branch:default,25
276,branch:default,10
277,branch:default,0
278,branch:default,44
279,branch:default,15
280,branch:default,100
281,branch:default,63
282,branch:default,198
283,branch:default,239
284,branch:default,509
285,branch:default,529
286,branch:default,95
287,branch:default,327
288,branch:default,66
289,branch:default,65
290,branch:default,2
291,branch:default,24
292,branch:default,22
293,branch:default,57
294,branch:default,25
295,branch:default,81
296,branch:default,48
297,branch:default,2
298,branch:default,25
299,branch:default,0
300,branch:default,11
301,branch:default,111
302,branch:default,3
303,branch:default,0
304,branch:default,20
305,branch:default,0
306,branch:default,2
307,branch:default,8
308,branch:default,5
309,branch:default,19
310,branch:default,0
311,branch:default,5
312,branch:default,25
313,branch:default,943
314,branch:default,25
315,branch:default,22
316,branch:default,21
317,branch:default,14
318,branch:default,1
319,branch:default,100
320,branch:default,20
321,branch:default,100
322,branch:default,23
323,branch:default,22
324,branch:default,100
325,branch:default,17
326,branch:default,100
327,branch:default,20
328,branch:default,100
329,branch:default,1
330,branch:default,100
331,branch:default,0
332,branch:default,100
333,branch:default,8
334,branch:default,4
335,branch:default,2
336,branch:default,100
337,branch:default,180
338,branch:default,200
339,branch:default,98
340,branch:default,100
341,branch:default,150
342,branch:default,150
343,branch:default,100
344,branch:default,150
345,branch:default,100
346,branch:default,100
347,branch:default,200
348,branch:default,200
349,branch:default,200
350,branch:default,1
351,branch:default,20
352,branch:default,20
353,branch:default,20
354,branch:default,20
355,branch:default,20
356,branch:default,20
357,branch:default,20
358,branch:default,20
359,branch:default,20
360,branch:default,20
361,branch:default,15
362,branch:default,20
363,branch:default,21
364,branch:default,20
365,branch:default,20
366,branch:default,20
367,branch:default,19
368,branch:default,20
369,branch:default,20
370,branch:default,20
371,branch:default,20
372,branch:default,20
373,branch:default,20
374,branch:default,20
375,branch:default,19
376,branch:default,20
377,branch:default,20
378,branch:default,20
379,branch:default,20
380,branch:default,17
381,branch:default,18
382,branch:default,20
383,branch:default,24
384,branch:default,16
385,branch:default,20
386,branch:default,17
387,branch:default,19
388,branch:default,18
389,branch:default,20
390,branch:default,14
391,branch:default,13
392,branch:default,18
393,branch:default,30
394,branch:default,20
395,branch:default,46
396,branch:default,26
397,branch:default,49
398,branch:default,13
399,branch:default,32
400,branch:default,10
401,branch:default,20
402,branch:default,10
403,branch:default,20
404,branch:default,8
405,branch:default,12
406,branch:default,49
407,branch:default,20
408,branch:default,45
409,branch:default,18
410,branch:default,47
411,branch:default,27
412,branch:default,20
413,branch:default,29
414,branch:default,20
415,branch:default,20
416,branch:default,20
417,branch:default,20
418,branch:default,20
419,branch:default,6
420,branch:default,20
421,branch:default,20
422,branch:default,20
423,branch:default,20
424,branch:default,21
425,branch:default,13
426,branch:default,18
427,branch:default,20
428,branch:default,16
429,branch:default,20
430,branch:default,20
431,branch:default,20
432,branch:default,20
433,branch:default,19
434,branch:default,20
435,branch:default,20
436,branch:default,20
437,branch:default,20
438,branch:default,20
439,branch:default,19
440,branch:default,20
441,branch:default,19
442,branch:default,17
443,branch:default,20
444,branch:default,20
445,branch:default,20
446,branch:default,20
447,branch:default,20
448,branch:default,20
449,branch:default,10
450,branch:default,18
451,branch:default,20
452,branch:default,20
453,branch:default,20
454,branch:default,20
455,branch:default,5
456,branch:default,18
457,branch:default,28
458,branch:default,7
459,branch:default,17
460,branch:default,4
461,branch:default,19
462,branch:default,2
463,branch:default,20
464,branch:default,2
465,branch:default,20
466,branch:default,20
467,branch:default,20
468,branch:default,20
469,branch:default,20
470,branch:default,20
471,branch:default,20
472,branch:default,20
473,branch:default,20
474,branch:default,18
475,branch:default,20
476,branch:default,20
477,branch:default,16
478,branch:default,20
479,branch:default,20
480,branch:default,20
481,branch:default,20
482,branch:default,19
483,branch:default,20
484,branch:default,20
485,branch:default,20
486,branch:default,18
487,branch:default,16
488,branch:default,20
489,branch:default,20
490,branch:default,20
491,branch:default,19
492,branch:default,20
493,branch:default,20
494,branch:default,14
495,branch:default,20
496,branch:default,18
497,branch:default,17
498,branch:default,20
499,branch:default,20
500,branch:default,20
501,branch:default,20
502,branch:default,19
503,branch:default,17
504,branch:default,16
505,branch:default,20
506,branch:default,20
507,branch:default,20
508,branch:default,5
509,branch:default,21
510,branch:default,35
511,branch:default,10
512,branch:default,35
513,branch:default,20
514,branch:default,18
515,branch:default,20
516,branch:default,15
517,branch:default,49
518,branch:default,14
519,branch:default,20
520,branch:default,16
521,branch:default,10
522,branch:default,14
523,branch:default,10
524,branch:default,10
525,branch:default,68
526,branch:default,16
527,branch:default,19
528,branch:default,21
529,branch:default,18
530,branch:default,20
531,branch:default,29
532,branch:default,16
533,branch:default,21
534,branch:default,40
535,branch:default,48
536,branch:default,100
537,branch:default,86
