legacy_id,product_legacy_id,uom_legacy_id,uom_name,factor_to_base,price_retail,price_mid_wholesale,price_wholesale,is_active
presentacion:1,4,presentacion_uom:ton,TON,20,4800,4800,4800,true
presentacion:2,4,presentacion_uom:bulto,BULTO,1,240,240,240,true
presentacion:3,5,presentacion_uom:ton,TON,40,4700,4700,4700,true
presentacion:4,5,presentacion_uom:bulto,BULTO,1,118,118,118,true
presentacion:5,6,presentacion_uom:ton,TON,20,3900,3900,3900,true
presentacion:6,6,presentacion_uom:bulto,BULTO,1,195,195,195,true
presentacion:7,7,presentacion_uom:ton,TON,40,3900,3900,3900,true
presentacion:8,7,presentacion_uom:bulto,BULTO,1,98,98,98,true
presentacion:9,8,presentacion_uom:ton,TON,40,3600,3600,3600,true
presentacion:10,8,presentacion_uom:bulto,BULTO,1,90,90,90,false
presentacion:11,11,presentacion_uom:brt-2,BRT-2,1,17,16,16,true
presentacion:12,12,presentacion_uom:brt-4,BRT-4,1,52,51,51,true
presentacion:13,10,presentacion_uom:pieza,PIEZA,1,33,33,33,true
presentacion:14,14,presentacion_uom:boap-1-2,BOAP-1/2,1,865,864,864,true
presentacion:15,10,presentacion_uom:pieza,PIEZA,1,13,12,12,false
presentacion:16,9,presentacion_uom:pieza,PIEZA,1,37,36,36,true
presentacion:17,15,presentacion_uom:cepp-52,CEPP-52,1,70,69,69,true
presentacion:18,13,presentacion_uom:pieza,PIEZA,1,27,26,26,true
presentacion:19,16,presentacion_uom:pieza,PIEZA,1,27,26,26,true
presentacion:20,18,presentacion_uom:cepp-55,CEPP-55,1,46,45,45,true
presentacion:21,17,presentacion_uom:pieza,PIEZA,1,1677,1676,1676,true
presentacion:22,21,presentacion_uom:boap-1-2,BOAP-1/2,1,87,86,86,true
presentacion:23,23,presentacion_uom:atm,ATM,1,331,330,330,true
presentacion:24,25,presentacion_uom:pieza,PIEZA,1,55,55,55,true
presentacion:25,26,presentacion_uom:fcn-55m,FCN-55M,1,158,157,157,true
presentacion:26,27,presentacion_uom:pieza,PIEZA,1,85,85,85,true
presentacion:27,28,presentacion_uom:pieza,PIEZA,1,5,5,5,true
presentacion:28,29,presentacion_uom:cat-60nd,CAT-60ND,1,1677,1676,1676,true
presentacion:29,31,presentacion_uom:pieza,PIEZA,1,1,1,1,true
presentacion:30,30,presentacion_uom:fh-5m,FH-5M,1,87,86,86,true
presentacion:31,32,presentacion_uom:msk-1-2,MSK-1/2,1,18,17,17,true
presentacion:32,33,presentacion_uom:pieza,PIEZA,1,14,14,14,true
presentacion:33,34,presentacion_uom:pieza,PIEZA,1,26,25,25,false
presentacion:34,35,presentacion_uom:msk-3-4,MSK-3/4,1,26,25,25,true
presentacion:35,36,presentacion_uom:llm-11,LLM-11,1,128,127,127,true
presentacion:36,37,presentacion_uom:msk-1-1-2,MSK-1-1/2,1,49,48,48,true
presentacion:37,38,presentacion_uom:llm-6l,LLM-6L,1,111,110,110,true
presentacion:38,39,presentacion_uom:pieza,PIEZA,1,140,139,139,true
presentacion:39,40,presentacion_uom:llm-6c,LLM-6C,1,111,110,110,true
presentacion:40,42,presentacion_uom:pieza,PIEZA,1,33,32,32,true
presentacion:41,41,presentacion_uom:pieza,PIEZA,1,11,11,11,true
presentacion:42,43,presentacion_uom:pet-10c,PET-10C,1,231,230,230,true
presentacion:43,44,presentacion_uom:pieza,PIEZA,1,7,7,7,true
presentacion:44,45,presentacion_uom:msk-2,MSK-2,1,65,64,64,true
presentacion:45,46,presentacion_uom:pieza,PIEZA,1,27,27,27,true
presentacion:46,47,presentacion_uom:ll-2014,LL-2014,1,64,63,63,true
presentacion:47,49,presentacion_uom:pieza,PIEZA,1,12,12,12,true
presentacion:48,48,presentacion_uom:msk-3-4a,MSK-3/4A,1,46,45,45,true
presentacion:49,50,presentacion_uom:ll-2016,LL-2016,1,76,75,75,true
presentacion:50,51,presentacion_uom:pieza,PIEZA,1,3,3,3,true
presentacion:51,52,presentacion_uom:pieza,PIEZA,1,22,22,22,true
presentacion:52,53,presentacion_uom:ll-2024,LL-2024,1,122,121,121,true
presentacion:53,54,presentacion_uom:msk-1a,MSK-1A,1,57,56,56,true
presentacion:54,55,presentacion_uom:pieza,PIEZA,1,2,2,2,true
presentacion:55,56,presentacion_uom:ll-2008m,LL-2008M,1,53,52,52,true
presentacion:56,45,presentacion_uom:pieza,PIEZA,1,110,109,109,false
presentacion:57,59,presentacion_uom:chma-3,CHMA-3,1,64,63,63,true
presentacion:58,58,presentacion_uom:ll-2010m,LL-2010M,1,57,56,56,true
presentacion:59,60,presentacion_uom:ll-2013m,LL-2013M,1,76,75,75,true
