legacy_id,sku,barcode,name,brand_legacy_id,brand_name,category_legacy_id,category_name,uom_legacy_id,uom_name,origin_country,volume_ml,alcohol_pct,vintage_year,price_retail,price_mid_wholesale,price_wholesale,cost,purchase_cost,min_stock,max_stock,image_url,notes,is_active,is_divisible,price_mid_wholesale_min_qty,price_wholesale_min_qty,single_price_mode
2,MAT-00002,,demo,,,category:materiales,Materiales,medida:2,PIEZAS,,,,,0,0,0,,,1,9999,,ID producto origen: 2 | Medida origen: Pieza(s),false,false,6,12,false
3,MAT-00003,,demo2,,,category:materiales,Materiales,medida:3,METROS,,,,,0,0,0,,,1,9999,,ID producto origen: 3 | Medida origen: Metro(s),false,true,6,12,false
4,MAT-00004,,CEMENTO HOLCIM(50 KILOS),,,category:materiales,Materiales,medida:2,PIEZAS,,,,,240,240,240,215,215,1,9999,,ID producto origen: 4 | Medida origen: Pieza(s),true,false,1,1,true
5,MAT-00005,,CEMENTO HOLCIM 25 KILOS,,,category:materiales,Materiales,medida:1,KILOS,,,,,118,118,118,104.2,104.2,1,9999,,ID producto origen: 5 | Medida origen: Kilo(s),false,true,1,1,true
6,MAT-00006,,MORTERO HOLCIM(50 KILOS),,,category:materiales,Materiales,medida:2,PIEZAS,,,,,195,195,195,170,170,0,9999,,ID producto origen: 6 | Medida origen: Pieza(s),true,false,1,1,true
7,MAT-00007,,MORTERO 25 HOLCIM,,,category:materiales,Materiales,medida:2,PIEZAS,,,,,98,98,98,83.5,83.5,1,9999,,ID producto origen: 7 | Medida origen: Pieza(s),true,false,1,1,true
8,MAT-00008,,CAL HIDRA,,,category:materiales,Materiales,medida:2,PIEZAS,,,,,90,90,90,69.5,69.5,1,9999,,ID producto origen: 8 | Medida origen: Pieza(s),true,false,1,1,true
9,MAT-00009,4191361223323,COPLE VERDE MACHO 1/2,,,category:materiales,Materiales,medida:2,PIEZAS,,,,,37,36,36,,,4,9999,uploads/productos/WhatsApp Image 2025-09-27 at 08.14.45.jpeg,ID producto origen: 9 | Medida origen: Pieza(s) | Generado sistema origen: 1,true,false,1,1,false
10,MAT-00010,1074953410222,COPLE VERDE HEMBRA 1/2,,,category:materiales,Materiales,medida:2,PIEZAS,,,,,33,33,33,,,4,9999,uploads/productos/WhatsApp Image 2025-09-26 at 12.01.49.jpeg,ID producto origen: 10 | Medida origen: Pieza(s) | Generado sistema origen: 1,true,false,1,1,true
11,MAT-00011,7501206686492,BROCHA PROFESIONAL 2P(TRUPER),,,category:materiales,Materiales,medida:2,PIEZAS,,,,,17,16,16,,,1,9999,,ID producto origen: 11 | Medida origen: Pieza(s),true,false,1,1,false
12,MAT-00012,7501206686522,"BROCHA PROFESIONAL 4 ""(TRUPER)",,,category:materiales,Materiales,medida:2,PIEZAS,,,,,52,51,51,,,1,9999,,ID producto origen: 12 | Medida origen: Pieza(s),true,false,1,1,false
13,MAT-00013,6283827134910,REDUCCION PVC 4X6,,,category:materiales,Materiales,medida:2,PIEZAS,,,,,27,26,26,,,4,9999,uploads/productos/WhatsApp Image 2025-09-26 at 9.09.45 AM.jpeg,ID producto origen: 13 | Medida origen: Pieza(s) | Generado sistema origen: 1,true,false,1,1,false
14,MAT-00014,7501206613733,bomba pereferica 1/2,,,category:materiales,Materiales,medida:2,PIEZAS,,,,,865,864,864,,,1,9999,,ID producto origen: 14 | Medida origen: Pieza(s),true,false,1,1,false
15,MAT-00015,7501206611883,CEPILLO PINTOR CERDA COLA DE CABALLO,,,category:materiales,Materiales,medida:2,PIEZAS,,,,,70,69,69,,,1,9999,,ID producto origen: 15 | Medida origen: Pieza(s),true,false,1,1,false
16,MAT-00016,7992453103595,YEE PVC 3,,,category:materiales,Materiales,medida:2,PIEZAS,,,,,27,26,26,23.26,23.26,4,9999,uploads/productos/WhatsApp Image 2025-09-26 at 09.21.59.jpeg,ID producto origen: 16 | Medida origen: Pieza(s) | Generado sistema origen: 1,true,false,1,1,false
17,MAT-00017,,CARRETILLA IMPONCHABLE TRUPER,,,category:materiales,Materiales,medida:2,PIEZAS,,,,,1677,1676,1676,,,1,9999,,ID producto origen: 17 | Medida origen: Pieza(s),false,false,1,1,false
18,MAT-00018,7506240606932,CEPILLO PINTOR SINTETICO,,,category:materiales,Materiales,medida:2,PIEZAS,,,,,46,45,45,,,1,9999,,ID producto origen: 18 | Medida origen: Pieza(s),true,false,1,1,false
19,MAT-00019,,CARRETILLA 5FT3 IMPONCHABLE TRUPER,,,category:materiales,Materiales,medida:2,PIEZAS,,,,,1676,1675,1675,,,1,9999,,ID producto origen: 19 | Medida origen: Pieza(s),true,false,1,1,false
20,MAT-00020,,COMPLE VERDE MACHO 3/4,,,category:materiales,Materiales,medida:2,PIEZAS,,,,,0,0,0,,,4,9999,,ID producto origen: 20 | Medida origen: Pieza(s),false,false,6,12,false
21,MAT-00021,7501206652190,ASPERSOR PLASTICO 11P ESTACA METALICA TRUPER,,,category:materiales,Materiales,medida:2,PIEZAS,,,,,87,86,86,,,1,9999,,ID producto origen: 21 | Medida origen: Pieza(s),true,false,1,1,false
22,MAT-00022,,COMPLE VERDE MACHO 3/4,,,category:materiales,Materiales,medida:2,PIEZAS,,,,,0,0,0,,,4,9999,,ID producto origen: 22 | Medida origen: Pieza(s),false,false,6,12,false
23,MAT-00023,7501206632000,AZADON MEZCLERO,,,category:materiales,Materiales,medida:2,PIEZAS,,,,,331,330,330,,,1,9999,,ID producto origen: 23 | Medida origen: Pieza(s),true,false,1,1,false
24,MAT-00024,,COMPLE VERDE MACHO 3/4,,,category:materiales,Materiales,medida:2,PIEZAS,,,,,23,23,23,,,4,9999,,ID producto origen: 24 | Medida origen: Pieza(s),false,false,1,1,true
25,MAT-00025,0730463802957,COPLE VERDE MACHO 3/4,,,category:materiales,Materiales,medida:2,PIEZAS,,,,,55,55,55,,,4,9999,uploads/productos/WhatsApp Image 2025-09-27 at 08.14.57.jpeg,ID producto origen: 25 | Medida origen: Pieza(s) | Generado sistema origen: 1,true,false,1,1,true
26,MAT-00026,7506240673828,FLEXOMETRO CONTRA IMPACTOS 5.5M,,,category:materiales,Materiales,medida:2,PIEZAS,,,,,158,157,157,,,1,9999,,ID producto origen: 26 | Medida origen: Pieza(s),true,false,1,1,false
27,MAT-00027,5321418922629,CODO PVC 6X90,,,category:materiales,Materiales,medida:2,PIEZAS,,,,,85,85,85,71.44,71.44,4,9999,uploads/productos/WhatsApp Image 2025-09-26 at 09.07.21.jpeg,ID producto origen: 27 | Medida origen: Pieza(s) | Generado sistema origen: 1,true,false,1,1,true
28,MAT-00028,2065714039546,TAPON VERDE 3/4,,,category:materiales,Materiales,medida:2,PIEZAS,,,,,5,5,5,,,4,9999,uploads/productos/WhatsApp Image 2025-09-27 at 09.29.42.jpeg,ID producto origen: 28 | Medida origen: Pieza(s) | Generado sistema origen: 1,true,false,1,1,true
29,MAT-00029,,CARRETILLA 6 FT3 NEUMATICA,,,category:materiales,Materiales,medida:2,PIEZAS,,,,,1677,1676,1676,1245.69,1245.69,1,9999,,ID producto origen: 29 | Medida origen: Pieza(s),true,false,1,1,false
30,MAT-00030,7501206673324,FLEXOMETRO GRIPPER 5M (TRUPER),,,category:materiales,Materiales,medida:2,PIEZAS,,,,,87,86,86,,,1,9999,,ID producto origen: 30 | Medida origen: Pieza(s),true,false,1,1,false
31,MAT-00031,7901700683346,TAPON CPVC 1/2,,,category:materiales,Materiales,medida:2,PIEZAS,,,,,1,1,1,0.59,0.59,4,9999,uploads/productos/WhatsApp Image 2025-09-26 at 3.01.31 PM.jpeg,ID producto origen: 31 | Medida origen: Pieza(s) | Generado sistema origen: 1,true,false,1,1,true
