legacy_id,purchase_legacy_id,product_legacy_id,product_uom_legacy_id,qty,cost_per_unit,subtotal,factor_used,qty_base
1,1,284,presentacion:287,41,25,1025,1,41
2,2,234,presentacion:233,3,33,99,1,3
3,2,241,presentacion:241,1,33,33,1,1
4,2,247,presentacion:248,1,33,33,1,1
5,3,5,presentacion:3,13,3800,49400,40,520
6,3,7,presentacion:7,13,3150,40950,40,520
7,4,284,presentacion:287,41,25,1025,1,41
8,5,287,presentacion:290,94,23,2162,1,94
9,6,287,presentacion:290,500,18,9000,1,500
10,7,540,presentacion:545,4,721.14,2884.56,1,4
11,7,541,presentacion:546,5,189.09,945.44,1,5
12,7,542,presentacion:547,5,148,739.99,1,5
13,7,543,presentacion:548,5,183.36,916.8,1,5
14,7,544,presentacion:549,5,269.6,1348,1,5
15,7,545,presentacion:550,5,308.77,1543.85,1,5
16,8,546,presentacion:552,100,0.42,41.6,1,100
17,8,547,presentacion:553,20,25.12,502.4,1,20
18,8,548,presentacion:554,2,234,468,1,2
19,8,549,presentacion:556,4,96,384,1,4
20,8,550,presentacion:561,4,108,432,1,4
21,8,551,presentacion:563,4,59.34,237.36,1,4
22,8,553,presentacion:564,4,45.54,182.16,1,4
23,8,554,presentacion:565,2,69,138,1,2
24,8,555,presentacion:566,2,75.9,151.8,1,2
25,8,557,presentacion:569,11,31.25,343.75,1,11
26,8,556,presentacion:570,6,59.44,356.64,1,6
27,9,516,presentacion:523,1200,3.3,3963.74,1,1200
28,10,514,presentacion:521,100,14.1,1410.32,1,100
29,11,515,presentacion:522,200,5.79,1158.56,1,200
30,12,527,presentacion:532,100,4.72,472.13,1,100
31,13,352,presentacion:361,100,32.37,3237.08,1,100
32,14,368,presentacion:376,100,25.47,2547.01,1,100
33,15,287,presentacion:290,1000,19,19000,1,1000
34,16,633,presentacion:638,30,168.83,5065,1,30
35,17,683,presentacion:687,100,145.5,14549.73,1,100
36,18,697,presentacion:700,50,119.94,5997.2,1,50
37,19,696,presentacion:701,1,612.87,612.87,1,1
38,20,698,presentacion:703,4,3400,13600,1,4
39,20,699,presentacion:705,4,4300,17200,40,160
40,21,700,presentacion:708,3,2501.2,7503.61,1,3
41,21,300,presentacion:307,7,142.12,994.86,1,7
42,21,310,presentacion:317,13,324.92,4224,1,13
43,21,334,presentacion:340,3,170.66,511.97,1,3
44,21,319,presentacion:326,29,131,3798.9,1,29
45,22,730,presentacion:737,29,1676.83,48627.98,100,2900
46,23,733,presentacion:740,200,468.45,93689.58,1,200
47,24,745,presentacion:751,3,452.67,1358,1,3
48,25,747,presentacion:757,18,1741.13,31340.36,1,18
49,26,771,presentacion:801,9,2422.1,21798.92,1,9
50,27,783,presentacion:821,15,1033.48,15502.25,1,15
51,28,797,presentacion:836,2,483.87,967.74,1,2
52,29,5,presentacion:3,5.5,4218,23199,40,220
53,30,800,presentacion:839,1,1975.79,1975.79,1,1
54,30,801,presentacion:840,1,1828.53,1828.53,1,1
55,30,799,presentacion:838,1,2914.84,2914.84,1,1
56,31,5,presentacion:4,480,105.45,50616,1,480
57,32,802,presentacion:841,5,47.71,238.55,1,5
58,32,803,presentacion:842,5,55.13,275.67,1,5
59,32,804,presentacion:843,5,2.22,11.08,1,5
60,32,110,presentacion:109,2,199,398,1,2
61,32,176,presentacion:175,2,125,250,1,2
62,33,806,presentacion:846,10,11.38,113.8,1,10
63,33,807,presentacion:847,10,20.65,206.48,1,10
64,33,808,presentacion:848,10,25.28,252.76,1,10
65,33,809,presentacion:849,10,35.15,351.48,1,10
66,33,810,presentacion:850,5,53.06,265.29,1,5
67,33,811,presentacion:851,5,117.94,589.69,1,5
68,33,813,presentacion:852,5,164.55,822.73,1,5
69,33,815,presentacion:854,10,37.9,378.97,1,10
70,33,817,presentacion:856,10,33.71,337.1,1,10
71,33,818,presentacion:857,10,17.37,173.65,1,10
72,33,819,presentacion:858,10,46.41,464.12,1,10
73,33,820,presentacion:859,10,658.43,6584.28,1,10
74,33,821,presentacion:860,10,1085.08,10850.76,1,10
75,33,822,presentacion:861,10,18.32,183.16,1,10
76,33,823,presentacion:862,10,24.4,243.95,1,10
77,33,812,presentacion:863,5,282.58,1412.88,1,5
78,33,824,presentacion:864,10,17.43,174.35,1,10
79,33,814,presentacion:853,10,25.43,254.27,1,10
80,34,826,presentacion:866,10,96.92,969.18,1,10
81,34,827,presentacion:867,10,119.19,1191.9,1,10
82,34,828,presentacion:868,5,39,195,1,5
83,34,829,presentacion:869,5,23,115.01,1,5
84,34,830,presentacion:870,5,16,79.98,1,5
85,34,831,presentacion:871,5,23,115.01,1,5
86,34,832,presentacion:872,2,162.01,324.01,1,2
87,34,833,presentacion:873,12,29.63,355.52,1,12
88,34,834,presentacion:874,10,71.73,717.34,1,10
89,34,835,presentacion:875,5,117,584.99,1,5
90,34,836,presentacion:876,3,30.4,91.21,1,3
91,34,837,presentacion:877,10,40.8,407.97,1,10
92,34,838,presentacion:878,3,146,437.99,1,3
93,34,839,presentacion:879,5,28.65,143.26,1,5
94,34,840,presentacion:880,10,29.5,294.99,1,10
95,34,841,presentacion:881,3,43.8,131.4,1,3
96,34,842,presentacion:882,5,26.1,130.5,1,5
97,34,843,presentacion:883,5,55.4,277.01,1,5
98,34,844,presentacion:884,3,154,462,1,3
99,34,845,presentacion:885,3,58,174,1,3
100,34,846,presentacion:886,10,117.6,1176.01,1,10
101,34,847,presentacion:887,5,60,299.98,1,5
102,34,848,presentacion:888,10,83.94,839.38,1,10
103,34,849,presentacion:889,5,34,170,1,5
104,34,850,presentacion:890,10,4.39,43.85,1,10
105,34,851,presentacion:891,80,72.99,5839.21,1,80
106,35,854,presentacion:894,1,1438.4,1438.4,1,1
107,35,855,presentacion:895,1,1806.7,1806.7,1,1
108,35,856,presentacion:896,1,1289.78,1289.78,1,1
109,36,857,presentacion:897,10,9.48,94.8,1,10
110,36,858,presentacion:898,10,12.07,120.7,1,10
111,36,859,presentacion:899,10,12.93,129.3,1,10
112,36,860,presentacion:900,10,15.52,155.2,1,10
113,36,861,presentacion:901,10,24.13,241.3,1,10
114,36,862,presentacion:902,10,15.95,159.5,1,10
115,36,863,presentacion:903,10,8.62,86.2,1,10
116,36,864,presentacion:904,10,12.07,120.7,1,10
117,36,865,presentacion:905,10,15.52,155.2,1,10
118,36,866,presentacion:907,5,18.97,94.85,1,5
119,36,868,presentacion:908,2,18.97,37.94,1,2
120,36,869,presentacion:909,2,21.55,43.1,1,2
121,36,870,presentacion:910,2,23.28,46.56,1,2
122,36,871,presentacion:911,4,111.21,444.84,1,4
123,36,872,presentacion:912,4,81.9,327.6,1,4
124,36,873,presentacion:913,4,49.14,196.56,1,4
125,36,874,presentacion:914,5,53.45,267.25,1,5
126,36,875,presentacion:915,4,62.32,249.28,1,4
127,36,876,presentacion:916,4,142.24,568.96,1,4
128,36,877,presentacion:917,4,34.48,137.92,1,4
129,36,878,presentacion:918,4,54.31,217.24,1,4
130,36,879,presentacion:919,4,44.83,179.32,1,4
131,36,880,presentacion:920,12,15.52,186.24,1,12
132,36,882,presentacion:922,1,3245.99,3245.99,1,1
133,37,885,presentacion:926,10,129.5,1294.98,1,10
134,38,883,presentacion:923,80,96.24,7699.2,1,80
135,38,884,presentacion:924,5,124.8,624,1,5
136,38,886,presentacion:925,5,124.8,624,1,5
137,38,887,presentacion:927,5,124.8,624,1,5
138,38,888,presentacion:928,5,124.8,624,1,5
139,38,893,presentacion:933,5,145.4,727,1,5
140,38,892,presentacion:932,5,145.4,727,1,5
141,38,891,presentacion:931,5,145.4,727,1,5
142,38,890,presentacion:930,5,145.4,727,1,5
143,38,889,presentacion:929,5,145.4,727,1,5
144,39,894,presentacion:934,4,59,235.99,1,4
145,39,895,presentacion:935,2,115,230,1,2
146,39,896,presentacion:936,1,2125,2125,1,1
147,40,897,presentacion:938,12,28,336,1,12
148,40,898,presentacion:939,12,18.67,224,1,12
149,40,899,presentacion:940,12,18.67,224.08,1,12
150,40,900,presentacion:941,24,13.5,324,1,24
151,40,901,presentacion:942,5,35.33,176.65,1,5
152,40,902,presentacion:943,36,12.67,456.12,1,36
153,40,903,presentacion:944,2,149.33,298.66,1,2
154,40,904,presentacion:945,2,213.33,426.66,1,2
155,40,905,presentacion:946,10,65.33,653.3,1,10
156,41,907,presentacion:948,6,35.82,214.92,1,6
157,41,908,presentacion:949,6,145,870,1,6
158,41,909,presentacion:950,6,84.9,509.4,1,6
159,41,910,presentacion:951,6,58.59,351.55,1,6
160,41,683,presentacion:687,100,4.7,469.8,1,100
161,41,669,presentacion:673,100,5.8,580,1,100
162,41,694,presentacion:698,70,30.23,2116.07,1,70
163,41,911,presentacion:952,50,20.56,1027.76,1,50
164,41,912,presentacion:953,5,19.23,96.16,1,5
165,41,844,presentacion:884,4,154,616.01,1,4
166,42,5,presentacion:4,400,105.5,42200,1,400
167,42,8,presentacion:10,80,75,6000,1,80
168,43,913,presentacion:954,33,409.09,13500,1,33
169,44,699,presentacion:706,160,110,17600,1,160
170,44,7,presentacion:8,160,82.5,13200,1,160
171,45,914,presentacion:955,100,60.25,6025,1,100
172,45,915,presentacion:956,300,157.52,47254.96,1,300
173,46,783,presentacion:821,33,38.81,1280.85,1,33
174,46,694,presentacion:698,54,30.23,1632.4,1,54
175,46,916,presentacion:957,1,27.54,27.54,1,1
176,46,788,presentacion:826,3,40.46,121.38,1,3
