legacy_id,branch_legacy_id,supplier_legacy_id,reference,purchase_date,total,notes,created_by,created_at,deleted_at,delete_note,is_credit
1,branch:default,29,entrada:1,2025-07-09,1025,Usuario origen: AIMEGONZALEZ | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 15 | Status origen: 1,,2025-07-09 00:00:00,,,true
2,branch:default,29,entrada:2,2025-07-11,165,Usuario origen: AIMEGONZALEZ | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2025-07-11 00:00:00,,,true
3,branch:default,29,entrada:3,2025-07-09,90350,Usuario origen: ALEXA2025 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2025-07-09 00:00:00,,,true
4,branch:default,29,entrada:4,2025-07-09,1025,Usuario origen: ALEXA2025 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2025-07-09 00:00:00,,,true
5,branch:default,29,entrada:5,2025-07-11,2162,Usuario origen: ALEXA2025 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2025-07-11 00:00:00,,,true
6,branch:default,29,entrada:6,2025-07-18,9000,Usuario origen: ALEXA2025 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2025-07-18 00:00:00,,,true
7,branch:default,32,entrada:7,2025-07-18,8378.64,Usuario origen: AIMEGONZALEZ | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2025-07-18 00:00:00,,,true
8,branch:default,33,entrada:8,2025-07-18,3237.71,Usuario origen: AIMEGONZALEZ | Liquidado origen: 1 | Credito abonado origen: 3237.71 | Dias credito origen: 0 | Status origen: 1,,2025-07-18 00:00:00,,,false
9,branch:default,34,entrada:9,2025-07-18,3963.74,Usuario origen: AIMEGONZALEZ | Liquidado origen: 1 | Credito abonado origen: 3963.74 | Dias credito origen: 0 | Status origen: 1,,2025-07-18 00:00:00,,,false
10,branch:default,34,entrada:10,2025-07-18,1410.32,Usuario origen: AIMEGONZALEZ | Liquidado origen: 1 | Credito abonado origen: 1410.32 | Dias credito origen: 0 | Status origen: 1,,2025-07-18 00:00:00,,,false
11,branch:default,34,entrada:11,2025-07-18,1158.56,Usuario origen: AIMEGONZALEZ | Liquidado origen: 1 | Credito abonado origen: 1158.56 | Dias credito origen: 0 | Status origen: 1,,2025-07-18 00:00:00,,,false
12,branch:default,34,entrada:12,2025-07-18,472.13,Usuario origen: AIMEGONZALEZ | Liquidado origen: 1 | Credito abonado origen: 472.13 | Dias credito origen: 0 | Status origen: 1,,2025-07-18 00:00:00,,,false
13,branch:default,34,entrada:13,2025-07-18,3237.08,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 3237.08 | Dias credito origen: 0 | Status origen: 1,,2025-07-18 00:00:00,,,false
14,branch:default,34,entrada:14,2025-07-18,2547.01,Usuario origen: JUANDEJESUS | Liquidado origen: 1 | Credito abonado origen: 2547.01 | Dias credito origen: 0 | Status origen: 1,,2025-07-18 00:00:00,,,false
15,branch:default,29,entrada:15,2025-07-19,19000,Usuario origen: ALEXA2025 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2025-07-19 00:00:00,,,true
16,branch:default,32,entrada:16,2025-07-21,5065,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 5065 | Dias credito origen: 30 | Status origen: 1 | Abonos proveedor origen: 5065,,2025-07-21 00:00:00,,,false
17,branch:default,35,entrada:17,2025-07-22,14549.73,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 14549.73 | Dias credito origen: 30 | Status origen: 1,,2025-07-22 00:00:00,,,false
18,branch:default,36,entrada:18,2025-07-22,5997.2,Usuario origen: ALONDRA2025 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2025-07-22 00:00:00,,,true
19,branch:default,35,entrada:19,2025-07-22,612.87,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 612.87 | Dias credito origen: 0 | Status origen: 1,,2025-07-22 00:00:00,,,false
20,branch:default,29,entrada:20,2025-07-23,30800,Usuario origen: ALEXA2025 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2025-07-23 00:00:00,,,true
21,branch:default,37,entrada:21,2025-07-26,17033.34,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 17033.34 | Dias credito origen: 0 | Status origen: 1,,2025-07-26 00:00:00,,,false
22,branch:default,35,entrada:22,2025-07-29,48627.98,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 48627.98 | Dias credito origen: 0 | Status origen: 1,,2025-07-29 00:00:00,,,false
23,branch:default,38,entrada:23,2025-07-29,93689.58,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 93689.58 | Dias credito origen: 30 | Status origen: 1 | Abonos proveedor origen: 93689.58,,2025-07-29 00:00:00,,,false
24,branch:default,33,entrada:24,2025-07-31,1358,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 1358 | Dias credito origen: 0 | Status origen: 1,,2025-07-31 00:00:00,,,false
25,branch:default,30,entrada:25,2025-08-04,31340.36,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 31340.36 | Dias credito origen: 0 | Status origen: 1,,2025-08-04 00:00:00,,,false
26,branch:default,35,entrada:26,2025-08-04,21798.92,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 21798.92 | Dias credito origen: 0 | Status origen: 1,,2025-08-04 00:00:00,,,false
27,branch:default,35,entrada:27,2025-08-12,15502.25,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 15502.25 | Dias credito origen: 0 | Status origen: 1,,2025-08-12 00:00:00,,,false
28,branch:default,33,entrada:28,2025-08-14,967.74,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 967.74 | Dias credito origen: 0 | Status origen: 1,,2025-08-14 00:00:00,,,false
29,branch:default,29,entrada:29,2025-08-14,23199,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 23199 | Dias credito origen: 0 | Status origen: 1,,2025-08-14 00:00:00,,,false
30,branch:default,37,entrada:30,2025-08-15,6719.16,Usuario origen: ALEXA2025 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2025-08-15 00:00:00,,,true
31,branch:default,29,entrada:31,2025-08-22,50616,Usuario origen: ALEXA2025 | Liquidado origen: 0 | Credito abonado origen: 27000 | Dias credito origen: 30 | Status origen: 1 | Abonos proveedor origen: 27000,,2025-08-22 00:00:00,,,true
32,branch:default,35,entrada:32,2025-08-22,1173.3,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 1173.3 | Dias credito origen: 0 | Status origen: 1,,2025-08-22 00:00:00,,,false
33,branch:default,30,entrada:33,2025-08-23,23659.72,Usuario origen: ALEXA2025 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2025-08-23 00:00:00,,,true
34,branch:default,35,entrada:34,2025-08-26,15566.7,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 15566.7 | Dias credito origen: 0 | Status origen: 1,,2025-08-26 00:00:00,,,false
35,branch:default,35,entrada:35,2025-08-26,4534.88,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 4534.88 | Dias credito origen: 0 | Status origen: 1,,2025-08-26 00:00:00,,,false
36,branch:default,37,entrada:36,2025-08-27,7506.55,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 7506.55 | Dias credito origen: 0 | Status origen: 1,,2025-08-27 00:00:00,,,false
37,branch:default,35,entrada:37,2025-08-27,1294.98,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 1294.98 | Dias credito origen: 0 | Status origen: 1,,2025-08-27 00:00:00,,,false
38,branch:default,29,entrada:38,2025-08-27,13830.2,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 13830.2 | Dias credito origen: 30 | Status origen: 1 | Abonos proveedor origen: 13830.2,,2025-08-27 00:00:00,,,false
39,branch:default,37,entrada:39,2025-08-29,2590.99,Usuario origen: ALONDRA2025 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2025-08-29 00:00:00,,,true
40,branch:default,39,entrada:40,2025-09-03,3119.47,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 3119.47 | Dias credito origen: 0 | Status origen: 1,,2025-09-03 00:00:00,,,false
41,branch:default,35,entrada:41,2025-09-08,6851.67,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 6851.67 | Dias credito origen: 0 | Status origen: 1,,2025-09-08 00:00:00,,,false
42,branch:default,29,entrada:42,2025-09-08,48200,Usuario origen: ALEXA2025 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2025-09-08 00:00:00,,,true
43,branch:default,29,entrada:43,2025-09-09,13500,Usuario origen: ALEXA2025 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2025-09-09 00:00:00,,,true
44,branch:default,29,entrada:44,2025-09-12,30800,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 30800 | Dias credito origen: 0 | Status origen: 1,,2025-09-12 00:00:00,,,false
45,branch:default,38,entrada:45,2025-09-12,53279.96,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 53279.96 | Dias credito origen: 30 | Status origen: 1 | Abonos proveedor origen: 53279.96,,2025-09-12 00:00:00,,,false
46,branch:default,35,entrada:46,2025-09-13,4156.01,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 4156.01 | Dias credito origen: 0 | Status origen: 1,,2025-09-13 00:00:00,,,false
47,branch:default,29,entrada:47,2025-09-15,42500,Usuario origen: ALEXA2025 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2025-09-15 00:00:00,,,true
48,branch:default,38,entrada:48,2025-09-15,34945,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 34945 | Dias credito origen: 30 | Status origen: 1 | Abonos proveedor origen: 34945,,2025-09-15 00:00:00,,,false
49,branch:default,37,entrada:49,2025-09-19,5055.35,Usuario origen: ALEXA2025 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2025-09-19 00:00:00,,,true
50,branch:default,37,entrada:50,2025-09-19,1490,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 1490 | Dias credito origen: 30 | Status origen: 1 | Abonos proveedor origen: 1490,,2025-09-19 00:00:00,,,false
51,branch:default,30,entrada:51,2025-09-22,16837.49,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 16837.49 | Dias credito origen: 0 | Status origen: 1,,2025-09-22 00:00:00,,,false
