legacy_id,sale_legacy_id,product_legacy_id,product_uom_legacy_id,qty,price_type,unit_price,line_total,factor_used,qty_base
1,1,4,presentacion:2,1,MENUDEO,230,230,1,1
2,2,296,presentacion:304,3,MENUDEO,33,99,1,3
3,2,295,presentacion:303,1,MENUDEO,33,33,1,1
4,3,296,presentacion:304,3,MENUDEO,33,99,1,3
5,3,295,presentacion:303,1,MENUDEO,33,33,1,1
6,3,293,presentacion:301,1,MENUDEO,33,33,1,1
7,4,287,presentacion:290,94,MENUDEO,23,2162,1,94
8,5,176,presentacion:175,1,MENUDEO,145,145,1,1
9,6,5,presentacion:4,20,MENUDEO,115,2300,1,20
10,7,287,presentacion:290,500,ESPECIAL,18,9000,1,500
11,7,594,presentacion:620,168,ESPECIAL,220,36960,1,168
12,8,284,presentacion:287,98,MENUDEO,25,2450,1,98
13,9,126,presentacion:125,1,MENUDEO,103,103,1,1
14,10,699,presentacion:705,1,MENUDEO,4300,4300,40,40
15,11,697,presentacion:700,10,MENUDEO,139,1390,1,10
16,12,669,presentacion:673,5,MENUDEO,9,45,1,5
17,13,284,presentacion:287,5,MENUDEO,25,125,1,5
18,14,5,presentacion:3,1,MENUDEO,4600,4600,40,40
19,14,7,presentacion:7,1,MENUDEO,3500,3500,40,40
20,15,703,presentacion:711,1,MENUDEO,16000,16000,30,30
21,16,497,presentacion:504,2,MENUDEO,2,4,1,2
22,16,604,presentacion:608,2,MENUDEO,1,2,1,2
23,16,621,presentacion:626,2,MENUDEO,0.5,1,1,2
24,17,713,presentacion:721,1,MENUDEO,356,356,1,1
25,18,36,presentacion:35,2,MENUDEO,128,256,1,2
26,19,566,presentacion:572,1,MENUDEO,9,9,1,1
27,19,608,presentacion:612,1,MENUDEO,4,4,1,1
28,19,617,presentacion:621,1,MENUDEO,2,2,1,1
29,20,736,presentacion:742,1,MENUDEO,104,104,1,1
30,21,735,presentacion:741,1,MENUDEO,2000,2000,1,1
31,22,5,presentacion:3,3,MENUDEO,4600,13800,40,120
32,23,551,presentacion:563,1,MENUDEO,72,72,1,1
33,24,733,presentacion:740,11,MENUDEO,250,2750,1,11
34,25,5,presentacion:4,2,MENUDEO,115,230,1,2
35,26,7,presentacion:7,2,MENUDEO,3500,7000,40,80
36,27,214,presentacion:213,1,MENUDEO,43,43,1,1
37,27,279,presentacion:756,30,MENUDEO,8,240,1,30
38,28,683,presentacion:687,1,MENUDEO,7,7,1,1
39,29,281,presentacion:282,4,MENUDEO,16,64,1,4
40,30,73,presentacion:72,1,MENUDEO,87,87,1,1
41,31,5,presentacion:4,2,MENUDEO,115,230,1,2
42,31,699,presentacion:706,2,MENUDEO,118,236,1,2
43,32,8,presentacion:285,20,MENUDEO,90,1800,1,20
44,32,699,presentacion:706,10,MENUDEO,118,1180,1,10
45,33,754,presentacion:767,1,MENUDEO,993,993,1,1
46,33,760,presentacion:775,1,MENUDEO,993,993,1,1
47,33,292,presentacion:813,1,MENUDEO,26,26,0.5,0.5
48,33,278,presentacion:279,2,MENUDEO,6,12,1,2
49,34,780,presentacion:811,1,MENUDEO,7500,7500,14,14
50,35,284,presentacion:287,4,MENUDEO,25,100,1,4
51,36,697,presentacion:700,10,MENUDEO,142,1420,1,10
52,37,5,presentacion:3,3,MENUDEO,4600,13800,40,120
53,37,7,presentacion:7,3,MENUDEO,3500,10500,40,120
54,37,772,presentacion:802,1,MENUDEO,330,330,1,1
55,38,5,presentacion:4,10,MENUDEO,115,1150,1,10
56,39,5,presentacion:4,10,MENUDEO,115,1150,1,10
57,40,781,presentacion:818,1,MENUDEO,86,86,1,1
58,41,8,presentacion:285,20,MENUDEO,90,1800,1,20
59,42,8,presentacion:285,1,MENUDEO,90,90,1,1
60,43,206,presentacion:206,1,MENUDEO,120,120,1,1
61,44,736,presentacion:820,1,MENUDEO,52,52,1,1
62,45,4,presentacion:2,12,MENUDEO,230,2760,1,12
63,46,5,presentacion:4,12,MENUDEO,115,1380,1,12
64,47,285,presentacion:288,30,MENUDEO,25,750,1,30
65,47,8,presentacion:9,1,MENUDEO,3600,3600,40,40
66,48,111,presentacion:110,1,MENUDEO,23,23,1,1
67,49,781,presentacion:818,1,MENUDEO,86,86,1,1
68,50,110,presentacion:109,1,MENUDEO,231,231,1,1
69,50,331,presentacion:338,1,MENUDEO,325,325,1,1
70,51,5,presentacion:4,16,MENUDEO,115,1840,1,16
71,52,699,presentacion:706,8,MENUDEO,118,944,1,8
72,53,699,presentacion:705,1,MENUDEO,4700,4700,40,40
73,54,110,presentacion:109,1,MENUDEO,231,231,1,1
