legacy_id,branch_legacy_id,customer_legacy_id,payment_method,price_type,subtotal,discount_amount,total,delivery_address,notes,created_by,created_at,deleted_at,delete_note,coupon_code,wallet_used,credit_used,cash_received,payment_type_audit,split_payment_method,split_payment_amount
1,branch:default,2,EFECTIVO,MENUDEO,230,0,230,DEGOLLADO,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 230 | Dias restantes origen: 0 | Status origen: 0,,2025-07-08 23:06:09,,,,0,0,230,[],,0
2,branch:default,3,EFECTIVO,MENUDEO,132,0,132,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 132 | Fecha limite origen: 2025-08-10 | Dias restantes origen: 30 | Status origen: 1,,2025-07-11 17:13:13,,,,0,0,132,[],,0
3,branch:default,3,EFECTIVO,MENUDEO,165,0,165,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 165 | Fecha limite origen: 2025-08-10 | Dias restantes origen: 30 | Status origen: 1,,2025-07-11 17:15:25,,,,0,0,165,[],,0
4,branch:default,3,EFECTIVO,MENUDEO,2162,0,2162,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 2162 | Fecha limite origen: 2025-07-26 | Dias restantes origen: 15 | Status origen: 1,,2025-07-11 22:05:06,,,,0,0,2162,[],,0
5,branch:default,2,EFECTIVO,MENUDEO,145,0,145,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 145 | Dias restantes origen: 0 | Status origen: 0,,2025-07-14 19:30:19,,,,0,0,145,[],,0
6,branch:default,4,EFECTIVO,MENUDEO,2300,0,2300,LA CIERRITA,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 2300 | Dias restantes origen: 0 | Status origen: 0,,2025-07-17 18:18:38,,,,0,0,2300,[],,0
7,branch:default,5,EFECTIVO,ESPECIAL,45960,0,45960,CEN COMER,Usuario origen: JUANDEJESUS | Liquidado origen: 1 | Credito abonado origen: 45960 | Fecha limite origen: 2025-08-02 | Dias restantes origen: 15 | Status origen: 1,,2025-07-18 19:25:59,,,,0,0,45960,[],,0
8,branch:default,5,EFECTIVO,MENUDEO,2450,0,2450,CEN COMER,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 2450 | Fecha limite origen: 2025-08-05 | Dias restantes origen: 15 | Status origen: 1,,2025-07-21 18:22:18,,,,0,0,2450,[],,0
9,branch:default,2,EFECTIVO,MENUDEO,103,0,103,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 103 | Dias restantes origen: 0 | Status origen: 1,,2025-07-23 14:17:42,,,,0,0,103,[],,0
10,branch:default,6,EFECTIVO,MENUDEO,4300,0,4300,LOS LADRILLOS,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 4300 | Dias restantes origen: 0 | Status origen: 1,,2025-07-24 15:03:07,,,,0,0,4300,[],,0
11,branch:default,7,EFECTIVO,MENUDEO,1390,0,1390,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 1390 | Fecha limite origen: 2025-08-23 | Dias restantes origen: 30 | Status origen: 1,,2025-07-24 16:12:03,,,,0,0,1390,[],,0
12,branch:default,2,EFECTIVO,MENUDEO,45,0,45,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 45 | Dias restantes origen: 0 | Status origen: 1,,2025-07-24 18:35:25,,,,0,0,45,[],,0
13,branch:default,3,EFECTIVO,MENUDEO,125,0,125,JESUS MARIA,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 125 | Fecha limite origen: 2025-08-09 | Dias restantes origen: 15 | Status origen: 1,,2025-07-25 15:37:53,,,,0,0,125,[],,0
14,branch:default,8,EFECTIVO,MENUDEO,8100,0,8100,LAS LAGUNAS,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 8100 | Fecha limite origen: 2025-08-09 | Dias restantes origen: 15 | Status origen: 1,,2025-07-25 17:32:58,,,,0,0,8100,[],,0
15,branch:default,8,EFECTIVO,MENUDEO,16000,0,16000,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 16000 | Fecha limite origen: 2025-08-12 | Dias restantes origen: 15 | Status origen: 1,,2025-07-28 19:46:46,,,,0,0,16000,[],,0
16,branch:default,2,EFECTIVO,MENUDEO,7,0,7,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 7 | Dias restantes origen: 0 | Status origen: 1,,2025-07-28 22:42:17,,,,0,0,7,[],,0
17,branch:default,9,EFECTIVO,MENUDEO,356,0,356,JESUS MARIA,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 356 | Fecha limite origen: 2025-08-14 | Dias restantes origen: 15 | Status origen: 1,,2025-07-30 18:19:47,,,,0,0,356,[],,0
18,branch:default,3,EFECTIVO,MENUDEO,256,0,256,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 256 | Fecha limite origen: 2025-08-14 | Dias restantes origen: 15 | Status origen: 1,,2025-07-30 19:44:08,,,,0,0,256,[],,0
19,branch:default,2,EFECTIVO,MENUDEO,15,0,15,JESUS MARIA,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 15 | Dias restantes origen: 0 | Status origen: 1,,2025-07-30 19:54:14,,,,0,0,15,[],,0
20,branch:default,3,EFECTIVO,MENUDEO,104,0,104,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 104 | Fecha limite origen: 2025-08-14 | Dias restantes origen: 15 | Status origen: 1,,2025-07-30 20:14:13,,,,0,0,104,[],,0
21,branch:default,3,EFECTIVO,MENUDEO,2000,0,2000,JESUS MARIA,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 2000 | Fecha limite origen: 2025-08-14 | Dias restantes origen: 15 | Status origen: 1,,2025-07-30 20:18:43,,,,0,0,2000,[],,0
