legacy_id,name,symbol,sort_order
presentacion_uom:pieza,´PIEZA,pza,503
presentacion_uom:001-12,001-12,,535
presentacion_uom:0085,0085,,600
presentacion_uom:01-003-1-4x1,01-003-1/4X1,,365
presentacion_uom:01-003-1-4x1-1-2,01-003-1/4X1-1/2,,369
presentacion_uom:01-003-1-4x1-1-4,01-003-1/4X1-1/4,,367
presentacion_uom:01-003-1-4x1-3-4,01-003-1/4X1-3/4,,372
presentacion_uom:01-003-1-4x1-2,01-003-1/4X1/2,,358
presentacion_uom:01-003-1-4x2,01-003-1/4X2,,375
presentacion_uom:01-003-1-4x2-1-2,01-003-1/4X2-1/2,,376
presentacion_uom:01-003-1-4x3,01-003-1/4X3,,377
presentacion_uom:01-003-1-4x3-4,01-003-1/4X3/4,,363
presentacion_uom:01-003-1-4x5-8,01-003-1/4X5/8,,361
presentacion_uom:01-003-3-8x1,01-003-3/8X1,,387
presentacion_uom:01-003-3-8x1-1-2,01-003-3/8X1-1/2,,391
presentacion_uom:01-003-3-8x1-1-4,01-003-3/8X1-1/4,,389
presentacion_uom:01-003-3-8x1-3-4,01-003-3/8X1-3/4,,393
presentacion_uom:01-003-3-8x2,01-003-3/8X2,,395
presentacion_uom:01-003-3-8x2-1-2,01-003-3/8X2-1/2,,396
presentacion_uom:01-003-3-8x3,01-003-3/8X3,,398
presentacion_uom:01-003-5-16x1,01-003-5/16X1,,379
presentacion_uom:01-003-5-16x1-1-2,01-003-5/16X1-1/2,,381
presentacion_uom:01-003-5-16x1-1-4,01-003-5/16X1-1/4,,380
presentacion_uom:01-003-5-16x2,01-003-5/16X2,,382
presentacion_uom:01-003-5-16x2-1-2,01-003-5/16X2-1/2,,383
presentacion_uom:01-003-5-16x3,01-003-5/16X3,,385
presentacion_uom:01-003-5-16x3-4,01-003-5/16X3/4,,378
presentacion_uom:01-009-1-2x1,01-009-1/2X1,,438
presentacion_uom:01-009-1-2x1-1-2,01-009-1/2X1-1/2,,443
presentacion_uom:01-009-1-2x1-1-4,01-009-1/2X1-1/4,,441
presentacion_uom:01-009-1-4x1,01-009-1/4X1,,350
presentacion_uom:01-009-1-4x1-1-2,01-009-1/4X1-1/2,,355
presentacion_uom:01-009-1-4x1-1-4,01-009-1/4X1-1/4,,352
presentacion_uom:01-009-1-4x1-3-4,01-009-1/4X1-3/4,,357
presentacion_uom:01-009-1-4x1-2,01-009-1/4X1/2,,344
presentacion_uom:01-009-1-4x2,01-009-1/4X2,,359
presentacion_uom:01-009-1-4x3-4,01-009-1/4X3/4,,348
presentacion_uom:01-009-1-4x5-8,01-009-1/4X5/8,,346
presentacion_uom:01-009-3-4x2,01-009-3/4X2,,500
presentacion_uom:01-009-3-4x2-1-2,01-009-3/4X2-1/2,,501
presentacion_uom:01-009-3-8x1,01-009-3/8X1,,392
presentacion_uom:01-009-3-8x1-1-2,01-009-3/8X1-1/2,,397
presentacion_uom:01-009-3-8x1-1-4,01-009-3/8X1-1/4,,394
presentacion_uom:01-009-3-8x1-3-4,01-009-3/8X1-3/4,,401
presentacion_uom:01-009-3-8x1-2,01-009-3/8X1/2,,388
presentacion_uom:01-009-3-8x2,01-009-3/8X2,,402
presentacion_uom:01-009-3-8x3-4,01-009-3/8X3/4,,390
presentacion_uom:01-009-5-16x1,01-009-5/16X1,,368
presentacion_uom:01-009-5-16x1-1-2,01-009-5/16X1-1/2,,371
presentacion_uom:01-009-5-16x1-1-4,01-009-5/16X1-1/4,,370
presentacion_uom:01-009-5-16x1-3-4,01-009-5/16X1-3/4,,373
presentacion_uom:01-009-5-16x1-2,01-009-5/16X1/2,,364
presentacion_uom:01-009-5-16x2,01-009-5/16X2,,374
presentacion_uom:01-009-5-16x3-4,01-009-5/16X3/4,,366
presentacion_uom:01-009-5-8x1-3-4,01-009-5/8X1-3/4,,489
presentacion_uom:01-009-5-8x2,01-009-5/8X2,,490
presentacion_uom:01-009-7-16x1,01-009-7/16X1,,412
presentacion_uom:01-009-7-16x1-1-2,01-009-7/16X1-1/2,,422
presentacion_uom:01-009-7-16x1-1-4,01-009-7/16X1-1/4,,416
presentacion_uom:01-009-7-16x1-3-4,01-009-7/16X1-3/4,,425
presentacion_uom:01-009-7-16x2,01-009-7/16X2,,426
presentacion_uom:01-009-9-16x1-1-2,01-009-9/16X1-1/2,,458
presentacion_uom:01-009-9-16x1-3-4,01-009-9/16X1-3/4,,459
presentacion_uom:01-009-9-16x2,01-009-9/16X2,,461
presentacion_uom:01-010-1-2x2,01-010-1/2X2,,446
presentacion_uom:01-010-1-2x2-1-2,01-010-1/2X2-1/2,,450
presentacion_uom:01-010-1-2x2-1-4,01-010-1/2X2-1/4,,448
presentacion_uom:01-010-1-2x3,01-010-1/2X3,,452
presentacion_uom:01-010-1-2x3-1-2,01-010-1/2X3-1/2,,453
presentacion_uom:01-010-1-2x4,01-010-1/2X4,,454
presentacion_uom:01-010-1-4x2-1-2,01-010-1/4X2-1/2,,360
presentacion_uom:01-010-1-4x3,01-010-1/4X3,,362
presentacion_uom:01-010-1-4x4-1-2,01-010-1/4X4-1/2,,456
presentacion_uom:01-010-1-4x5,01-010-1/4X5,,457
presentacion_uom:01-010-3-4x3-1-2,01-010-3/4X3-1/2,,502
presentacion_uom:01-010-3-4x4,01-010-3/4X4,,504
presentacion_uom:01-010-3-4x4-1-2,01-010-3/4X4-1/2,,505
presentacion_uom:01-010-3-4x5,01-010-3/4X5,,506
presentacion_uom:01-010-3-4x5-1-2,01-010-3/4X5-1/2,,508
presentacion_uom:01-010-3-4x6,01-010-3/4X6,,509
presentacion_uom:01-010-3-4x6-1-2,01-010-3/4X6-1/2,,510
presentacion_uom:01-010-3-4x7,01-010-3/4X7,,511
presentacion_uom:01-010-3-4x8,01-010-3/4X8,,513
presentacion_uom:01-010-3-8x2-1-2,01-010-3/8X2-1/2,,405
presentacion_uom:01-010-3-8x3,01-010-3/8X3,,407
presentacion_uom:01-010-5-16x2-1-2,01-010-5/16X2-1/2,,384
presentacion_uom:01-010-5-16x3,01-010-5/16X3,,386
presentacion_uom:01-010-5-8x3,01-010-5/8X3,,492
presentacion_uom:01-010-5-8x3-1-2,01-010-5/8X3-1/2,,629
presentacion_uom:01-010-5-8x31-2,01-010-5/8X31/2,,493
presentacion_uom:01-010-5-8x4,01-010-5/8X4,,630
presentacion_uom:01-010-5-8x7,01-010-5/8X7,,498
presentacion_uom:01-010-5-8x8,01-010-5/8X8,,499
presentacion_uom:01-010-7-16x2-1-2,01-010-7/16X2-1/2,,429
presentacion_uom:01-010-7-16x3,01-010-7/16X3,,431
presentacion_uom:01-010-7-16x3-1-2,01-010-7/16X3-1/2,,434
presentacion_uom:01-010-7-16x4,01-010-7/16X4,,436
presentacion_uom:01-010-9-16x2-1-2,01-010-9/16X2-1/2,,483
presentacion_uom:01-010-9-16x3,01-010-9/16X3,,484
presentacion_uom:01-010-9-16x3-1-2,01-010-9/16X3-1/2,,485
presentacion_uom:01-010-9-16x4,01-010-9/16X4,,486
presentacion_uom:01-010-9-16x4-1-2,01-010-9/16X4-1/2,,487
presentacion_uom:01-010-9-16x5,01-010-9/16X5,,488
presentacion_uom:01-023-6x20,01-023-6X20,,298
presentacion_uom:01-023-6x25,01-023-6X25,,299
presentacion_uom:01-023-6x30,01-023-6X30,,300
presentacion_uom:01-023-6x35,01-023-6X35,,313
presentacion_uom:01-023-6x40,01-023-6X40,,315
presentacion_uom:01-023-6x45,01-023-6X45,,316
presentacion_uom:01-023-6x50,01-023-6X50,,318
presentacion_uom:01-023-6x55,01-023-6X55,,320
presentacion_uom:01-023-8x12,01-023-8X12,,322
presentacion_uom:01-023-8x16,01-023-8X16,,324
presentacion_uom:01-023-8x20,01-023-8X20,,325
presentacion_uom:01-023-8x25,01-023-8X25,,327
presentacion_uom:01-023-8x30,01-023-8X30,,329
presentacion_uom:01-023-8x35,01-023-8X35,,330
presentacion_uom:01-023-8x45,01-023-8X45,,334
presentacion_uom:01-0238x40,01-0238X40,,332
presentacion_uom:02-002-1-4,02-002-1/4,,399
presentacion_uom:02-002-1-8,02-002-1/8,,338
presentacion_uom:02-002-3-16,02-002-3/16,,342
presentacion_uom:02-002-3-8,02-002-3/8,,403
presentacion_uom:02-002-5-16,02-002-5/16,,400
presentacion_uom:02-002-5-32,02-002-5/32,,340
presentacion_uom:02-008-1-4,02-008-1/4,,507
presentacion_uom:02-008-3-8,02-008-3/8,,512
presentacion_uom:02-020-6,02-020-6,,339
presentacion_uom:02-020-8,02-020-8,,341
presentacion_uom:02-035-1-2,02-035-1/2,,464
presentacion_uom:02-035-1-4,02-035-1/4,,455
presentacion_uom:02-035-3-8,02-035-3/8,,462
presentacion_uom:02-035-5-16,02-035-5/16,,460
presentacion_uom:02-035-7-16,02-035-7/16,,463
presentacion_uom:03-002-5-8,03-002-5/8,,515
presentacion_uom:03-002-9-16,03-002-9/16,,514
presentacion_uom:03-012-1-4,03-012-1/4,,516
presentacion_uom:03-012-9-16,03-012-9/16,,496
presentacion_uom:04-1812,04-1812,,249
presentacion_uom:05-002-1-4x1,05-002-1/4X1,,408
presentacion_uom:05-002-1-4x1-1-2,05-002-1/4X1-1/2,,410
presentacion_uom:05-002-1-4x1-1-4,05-002-1/4X1-1/4,,409
presentacion_uom:05-002-1-4x1-3-4,05-002-1/4X1-3/4,,411
presentacion_uom:05-002-1-4x2,05-002-1/4X2,,413
presentacion_uom:05-002-1-4x2-1-2,05-002-1/4X2-1/2,,414
presentacion_uom:05-002-1-4x3,05-002-1/4X3,,415
presentacion_uom:05-002-1-4x3-1-2,05-002-1/4X3-1/2,,417
presentacion_uom:05-002-1-4x4,05-002-1/4X4,,418
presentacion_uom:05-002-1-4x4-1-2,05-002-1/4X4-1/2,,419
presentacion_uom:05-002-1-4x5,05-002-1/4X5,,420
presentacion_uom:05-002-3-8x1,05-002-3/8X1,,437
presentacion_uom:05-002-3-8x1-1-2,05-002-3/8X1-1/2,,440
presentacion_uom:05-002-3-8x1-1-4,05-002-3/8X1-1/4,,439
presentacion_uom:05-002-3-8x1-3-4,05-002-3/8X1-3/4,,442
presentacion_uom:05-002-3-8x2,05-002-3/8X2,,444
presentacion_uom:05-002-3-8x2-1-2,05-002-3/8X2-1/2,,445
presentacion_uom:05-002-3-8x3,05-002-3/8X3,,447
presentacion_uom:05-002-3-8x3-1-2,05-002-3/8X3-1/2,,449
presentacion_uom:05-002-3-8x4,05-002-3/8X4,,451
presentacion_uom:05-002-5-16x1,05-002-5/16X1,,421
presentacion_uom:05-002-5-16x1-1-2,05-002-5/16X1-1/2,,424
presentacion_uom:05-002-5-16x1-1-4,05-002-5/16X1-1/4,,423
presentacion_uom:05-002-5-16x1-3-4,05-002-5/16X1-3/4,,427
presentacion_uom:05-002-5-16x2,05-002-5/16X2,,428
presentacion_uom:05-002-5-16x2-1-2,05-002-5/16X2-1/2,,430
presentacion_uom:05-002-5-16x3,05-002-5/16X3,,432
presentacion_uom:05-002-5-16x3-1-2,05-002-5/16X3-1/2,,433
presentacion_uom:05-002-5-16x4,05-002-5/16X4,,435
presentacion_uom:06-001-1-8x1,06-001-1/8X1,,303
presentacion_uom:06-001-1-8x1-1-2,06-001-1/8X1-1/2,,305
presentacion_uom:06-001-1-8x1-1-4,06-001-1/8X1-1/4,,304
presentacion_uom:06-001-1-8x1-2,06-001-1/8X1/2,,297
presentacion_uom:06-001-1-8x2,06-001-1/8X2,,306
presentacion_uom:06-001-1-8x3-4,06-001-1/8X3/4,,302
presentacion_uom:06-001-1-8x5-8,06-001-1/8X5/8,,301
presentacion_uom:06-001-3-16x1,06-001-3/16X1,,328
presentacion_uom:06-001-3-16x1-1-2,06-001-3/16X1-1/2,,333
presentacion_uom:06-001-3-16x1-1-4,06-001-3/16X1-1/4,,331
presentacion_uom:06-001-3-16x1-2,06-001-3/16X1/2,,321
presentacion_uom:06-001-3-16x2,06-001-3/16X2,,335
presentacion_uom:06-001-3-16x2-1-2,06-001-3/16X2-1/2,,336
presentacion_uom:06-001-3-16x3,06-001-3/16X3,,337
presentacion_uom:06-001-3-16x3-4,06-001-3/16X3/4,,326
presentacion_uom:06-001-3-16x5-8,06-001-3/16X5/8,,323
presentacion_uom:06-001-5-32x1,06-001-5/32X1,,310
presentacion_uom:06-001-5-32x1-1-2,06-001-5/32X1-1/2,,312
presentacion_uom:06-001-5-32x1-1-4,06-001-5/32X1-1/4,,311
presentacion_uom:06-001-5-32x1-2,06-001-5/32X1/2,,307
presentacion_uom:06-001-5-32x2,06-001-5/32X2,,314
presentacion_uom:06-001-5-32x2-1-2,06-001-5/32X2-1/2,,317
presentacion_uom:06-001-5-32x3,06-001-5/32X3,,319
presentacion_uom:06-001-5-32x3-4,06-001-5/32X3/4,,309
presentacion_uom:06-001-5-32x5-8,06-001-5/32X5/8,,308
presentacion_uom:08-010-6,08-010-6,,404
presentacion_uom:08-010-8,08-010-8,,406
presentacion_uom:08-1812,08-1812,,248
presentacion_uom:0859,0859,,598
presentacion_uom:09-016-1-4x1,09-016-1/4X1,,478
presentacion_uom:09-016-1-4x1-1-2,09-016-1/4X1-1/2,,479
presentacion_uom:09-016-1-4x2,09-016-1/4X2,,480
presentacion_uom:09-016-1-4x3-4,09-016-1/4X3/4,,477
presentacion_uom:09-018-1-4x1,09-018-1/4X1,,482
presentacion_uom:09-018-1-4x1-1-2,09-018-1/4X1-1/2,,494
presentacion_uom:09-018-1-4x1-1-4,09-018-1/4X1-1/4,,491
presentacion_uom:09-021-8x1,09-021-8X1,,476
presentacion_uom:09-021-8x1-2,09-021-8X1/2,,474
presentacion_uom:09-021-8x3-4,09-021-8X3/4,,475
presentacion_uom:1-2-metro,1/2 METRO,m,637
presentacion_uom:1-2-ton,1/2 TON,,764
presentacion_uom:10in-1,10IN-1,,547
presentacion_uom:10in-1,"10IN-1""",,540
presentacion_uom:11-0908,11-0908,,624
presentacion_uom:11866cm,11866CM,,662
presentacion_uom:14-metros-tobal-jm,14 METROS TOBAL JM,m,678
presentacion_uom:15596,15596,,706
presentacion_uom:16-0212,16-0212,,555
presentacion_uom:16-0213,16-0213,,554
presentacion_uom:20-011-2x2,20-011-2X2,,497
presentacion_uom:20-021-3-8x1-3-4,20-021-3/8X1-3/4,,495
presentacion_uom:21000,21000,,746
presentacion_uom:21531,21531,,650
presentacion_uom:222,222,,643
presentacion_uom:22201,22201,,621
presentacion_uom:2259,2259,,620
presentacion_uom:2556,2556,,726
presentacion_uom:26-001-6x12,26-001-6X12,,465
presentacion_uom:26-001-6x16,26-001-6X16,,466
presentacion_uom:26-001-6x20,26-001-6X20,,467
presentacion_uom:26-001-6x25,26-001-6X25,,468
presentacion_uom:26-001-6x30,26-001-6X30,,469
presentacion_uom:26-001-8x16,26-001-8X16,,470
presentacion_uom:26-001-8x20,26-001-8X20,,471
presentacion_uom:26-001-8x25,26-001-8X25,,472
presentacion_uom:26-001-8x30,26-001-8X30,,473
presentacion_uom:2783,2783,,596
presentacion_uom:2784,2784,,597
presentacion_uom:34-017-1-4,34-017-1/4,,345
presentacion_uom:34-017-316,34-017-316,,343
presentacion_uom:34-017-5-16,34-017-5/16,,347
presentacion_uom:3504,3504,,595
presentacion_uom:3553c-13,3553C.13,,603
presentacion_uom:3553c-19,3553C.19,,602
presentacion_uom:3553c-25,3553C.25,,601
presentacion_uom:3554g-1310,3554G.1310,,700
presentacion_uom:37-001-1-2x2,37-001-1/2X2,,353
presentacion_uom:37-001-1-8x1,37-001-1/8X1,,349
presentacion_uom:37-001-1-8x1-1-2,37-001-1/8X1-1/2,,351
presentacion_uom:37-001-3-16x1-1-2,37-001-3/16X1-1/2,,354
presentacion_uom:37-001-3-16x2,37-001-3/16X2,,356
presentacion_uom:4004-13,4004.13,,625
presentacion_uom:4111-1,4111.1,,566
presentacion_uom:4111-3,4111.3,,567
presentacion_uom:4120,4120,,626
presentacion_uom:4135vp,4135VP,,519
presentacion_uom:4140vp,4140VP,,518
presentacion_uom:4555,4555,,599
presentacion_uom:564-060ni,564-060NI,,523
presentacion_uom:5880,5880,,556
presentacion_uom:5880-12,5880-12,,557
presentacion_uom:7-metros,7 METROS,m,640
presentacion_uom:7-metros-chamy,7 METROS CHAMY,m,658
presentacion_uom:777078,777078,,531
presentacion_uom:779728,779728,,558
presentacion_uom:79097,79097,,644
presentacion_uom:7m-tobal,7M TOBAL,,760
presentacion_uom:8623,8623,,533
presentacion_uom:ab-24,AB-24,,674
presentacion_uom:abt-742,ABT-742,,742
presentacion_uom:aces-2,ACES-2,,243
presentacion_uom:aces-20,ACES-20,,172
presentacion_uom:ad-2p,AD-2P,,178
presentacion_uom:all-p8p,ALL-P8P,,631
presentacion_uom:alre-151,ALRE-151,,226
presentacion_uom:aqf-82,AQF-82,,235
presentacion_uom:aqf-88,AQF-88,,236
presentacion_uom:aqm-52n,AQM-52N,,227
presentacion_uom:armex-reforzado-10x10,ARMEX REFORZADO 10X10,,550
presentacion_uom:aspro-11x,ASPRO-11X,,180
presentacion_uom:asve-11,ASVE-11,,182
presentacion_uom:atm,ATM,,111
presentacion_uom:ba01,BA01,,605
presentacion_uom:ba01-3,BA01/3,,604
presentacion_uom:ba02,BA02,,623
presentacion_uom:ba02-3b,BA02/3B,,525
presentacion_uom:ba06,BA06,,536
presentacion_uom:ba07-b,BA07-B,,577
presentacion_uom:ba07-3,BA07/3,,608
presentacion_uom:ba09,BA09,,685
presentacion_uom:ba09-b,BA09-B,,607
presentacion_uom:ba11,BA11,,681
presentacion_uom:ba1200,BA1200,,680
presentacion_uom:ba18,BA18,,682
presentacion_uom:barbo-b,BARBO-B,,688
presentacion_uom:bcin-1000,BCIN-1000,,262
presentacion_uom:bct001,BCT001,,675
presentacion_uom:boap-1-2,BOAP-1/2,,108
presentacion_uom:bolsa-con-10,BOLSA CON 10,,711
presentacion_uom:bolsa-con-5,BOLSA CON 5,,710
presentacion_uom:bosch,BOSCH,,594
presentacion_uom:bota,BOTA,,695
presentacion_uom:bp01,BP01,,622
presentacion_uom:bp01-m-p,BP01-M/P,,534
presentacion_uom:bp02-m-p,BP02 M/P,,551
presentacion_uom:bp06-cen,BP06-CEN,,532
presentacion_uom:bp07-cnn,BP07-CNN,,580
presentacion_uom:bp07-m-p,BP07-M/P,,578
presentacion_uom:bp08-cnn,BP08-CNN,,528
presentacion_uom:bp11-m-p,BP11-M/P,,542
presentacion_uom:bp20-cnn,BP20-CNN,,530
presentacion_uom:bpo1-3,BPO1/3,,546
presentacion_uom:brp-1,BRP-1,,173
presentacion_uom:brp-2,BRP-2,,176
presentacion_uom:brp-3,BRP-3,,179
presentacion_uom:brp-4,BRP-4,,181
presentacion_uom:brt-2,BRT-2,,105
presentacion_uom:brt-2s,BRT-2S,,132
presentacion_uom:brt-3s,BRT-3S,,133
presentacion_uom:brt-4,BRT-4,,106
presentacion_uom:bulto,BULTO,bulto,104
presentacion_uom:caja,CAJA,,549
presentacion_uom:cal64,CAL64,,539
presentacion_uom:can-1020,CAN-1020,,548
presentacion_uom:cas-ri,CAS-RI,,690
presentacion_uom:cat-60x,CAT 60X,,237
presentacion_uom:cat-133,CAT-133,,520
presentacion_uom:cat-15ff,CAT-15FF,,244
presentacion_uom:cat-60nd,CAT-60ND,,113
presentacion_uom:cc01s,CC01S,,522
presentacion_uom:cc02s,CC02S,,526
presentacion_uom:cc04e,CC04E,,527
presentacion_uom:cepp-52,CEPP-52,,109
presentacion_uom:cepp-55,CEPP-55,,110
presentacion_uom:cfm-1-2a,CFM-1/2A,,240
presentacion_uom:cfm-1-2p,CFM-1/2P,,228
presentacion_uom:ch-30p,CH-30P,,215
presentacion_uom:ch-38,CH-38,,590
presentacion_uom:ch-40p,CH-40P,,213
presentacion_uom:ch-45l,CH-45L,,592
presentacion_uom:ch-50,CH-50,,591
presentacion_uom:chma-3,CHMA-3,,129
presentacion_uom:chs-800n-l,CHS-800N-L,,694
presentacion_uom:cl-coh,CL-COH,,751
presentacion_uom:cl-h,CL-H,,749
presentacion_uom:cl-hr,CL-HR,,750
presentacion_uom:clc-1-2n,CLC-1/2N,,265
presentacion_uom:clr-sg,CLR-SG,,748
presentacion_uom:coaz-1-1-2,COAZ-1-1/2,,611
presentacion_uom:coaz-2,COAZ-2,,613
presentacion_uom:cor-60p,COR-60P,,589
presentacion_uom:cor-75zp,COR-75ZP,,217
presentacion_uom:cot-p,COT-P,,585
presentacion_uom:cp-14x,CP-14X,,666
presentacion_uom:cp-24x,CP-24X,,667
presentacion_uom:cp-30x,CP-30X,,668
presentacion_uom:cs-851,CS-851,,209
presentacion_uom:cs-85d,CS-85D,,211
presentacion_uom:ct-10c,CT-10C,,646
presentacion_uom:ct-12b,CT-12B,,645
presentacion_uom:ct-6,CT-6,,584
presentacion_uom:ct-8p,CT-8P,,586
presentacion_uom:ct-9gp,CT-9GP,,588
presentacion_uom:ct-9p,CT-9P,,587
presentacion_uom:ctf-1-2,CTF-1/2,,272
presentacion_uom:ctf-3-4,CTF-3/4,,274
presentacion_uom:ctf-3-4x13,CTF-3/4X13,,702
presentacion_uom:cue-041k,CUE-041K,,198
presentacion_uom:cue-061k,CUE-061K,,200
presentacion_uom:cue-081k,CUE-081K,,201
presentacion_uom:cue-101k,CUE-101K,,203
presentacion_uom:cue-111k,CUE-111K,,205
presentacion_uom:cue-131k,CUE-131K,,207
